estimator,from_cache,completion,generations,finish_reasons,turns,response_spBLEU,response_chrF,dialectid_score,dialectid_prob,dialectness,macro_prob,macro_score,_raw_turns,chat_preamble,documents,desired_output_dialect,too_few_tokens,error,error_traceback
OpenAIAPI:gpt-4o-2024-08-06,True,في شي مضيفات بيحكوا ياباني؟,['في مضيفات بيحكوا ياباني؟'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d39a0cc10>,84.96364166597652,83.40022371125656,0.016917419645317233,0.023240746930241585,0.727920651435852,0.9925143010914326,0.722471656609875,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nAre there any stewardesses who speak Japanese?\nTranslation:'}]}]",,(),syr,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,True,قهوة مع كريما وسكر، لو سمحت.,['قهوة مع كريمة وسكر، لو سمحت.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d399ab0d0>,64.07117598241614,80.62592251379436,0.0236613869908453,0.05376756191253662,0.4400680661201477,0.6808773642405868,0.2996323849463384,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nCoffee with cream and sugar, please.\nTranslation:'}]}]",,(),syr,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,True,في شي مضيفة بتحكي ياباني؟,['في مضيفة بتحكي ياباني؟'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d399ab160>,81.76129038784515,82.4079509592458,0.0021119777166239834,0.20305903255939484,0.010400806553661823,0.9884481281042099,0.010280657768741028,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nIs there any stewardess who speaks Japanese?\nTranslation:'}]}]",,(),syr,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,True,ضيعت بطاقة الاستلام تبعي.,['ضَيَّعْت رَقَم الإيصال.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d399ab070>,3.21858262703621,10.094958663352026,0.0013854318377666541,0.08096553385257721,0.01711137779057026,0.21935183182358742,0.0037534120633870363,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nI lost my claim tag.\nTranslation:'}]}]",,(),syr,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,True,خلينا نلتقي لناقش هالموضوع بشكل أوسع.,['خلينا نجتمع لنناقش هالموضوع أكتر.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d399abbb0>,18.975615964312315,41.644870811042715,0.32385007548002953,0.4418571889400482,0.7329292893409729,0.9899683841504157,0.7255768242653954,"[{'role': 'User', 'content': [{'type': 'text', 'text': ""Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nLet's get together to discuss this further.\nTranslation:""}]}]",,(),syr,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,True,بدي شوف الميناء.,['بدي شوف المرفأ.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d399abd00>,43.47208719449914,56.845748725279435,0.14138707627108182,0.20880571007728577,0.6771226525306702,0.9920288249850273,0.6717251893607457,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nI want to see the harbor.\nTranslation:'}]}]",,(),syr,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,True,وين أقرب صيدلي؟,['وين أقرب صيدلية؟'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d399abbe0>,64.34588841607616,81.91459079780293,0.10177253037471079,0.1733510047197342,0.5870893597602844,0.523303858935833,0.3072261275027244,"[{'role': 'User', 'content': [{'type': 'text', 'text': ""Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nWhere's the nearest chemist?\nTranslation:""}]}]",,(),syr,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,True,شايفه كتير حلو.,['أعتقد أنه خلاب.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d399abc10>,8.745825313180626,7.9326923076923075,0.0005085493192142805,0.0016237619565799832,0.3131920397281647,0.009856609511189163,0.003087011637613362,"[{'role': 'User', 'content': [{'type': 'text', 'text': ""Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nI think it's scenic.\nTranslation:""}]}]",,(),syr,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,True,شو رح ينعزف بقاعة الحفلات الموسيقية اليوم؟,['شو عم ينعرض بقاعة الحفلات اليوم؟'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d399ab460>,27.505242667436654,47.65614692093383,0.5102024653487547,0.6276401877403259,0.8128900527954102,0.9911991022527218,0.8057358905609782,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nWhat is playing at the concert hall today?\nTranslation:'}]}]",,(),syr,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,True,خدني عالمستشفى.,['خدني على المستشفى.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d399ab4f0>,22.957488466614336,62.56736623247934,0.09151150728941548,0.2505206763744354,0.3652852475643158,0.9805336147546768,0.3581744642107956,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nTake me to the hospital.\nTranslation:'}]}]",,(),syr,False,None,None
