estimator,completion,generations,finish_reasons,turns,response_spBLEU,response_chrF,dialectid_score,dialectid_prob,dialectness,macro_prob,macro_score,_raw_turns,from_cache,chat_preamble,desired_output_dialect,too_few_tokens,error,tool_calls,tool_results
OpenAIAPI:gpt-4o-2024-05-13,لما سافرت بره في البداية، كان الناس ممكن صبورين ومتفهمين، مع العلم أن المسافرين في بلد جديد لازم يتأقلموا على الوضع.,['لما سافرت برا في الأول، الناس كانوا غالبًا صبورين ومتفاهمين، عارفين إن المسافرين في بلد جديد محتاجين يتأقلموا.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e574fcd0>,35.8028936105909,47.270584189784046,0.586915486928163,0.9714162945747375,0.6041853427886963,0.9754190305247903,0.5893338813202382,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nWhen you went abroad at first, people were probably patient and understanding, knowing that travellers in a new country need to adapt.\nTranslation:'}]}]",False,,egy,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,بسبب أن البيئة الجديدة دي فيها موارد ومنافسين مختلفين، المجموعة حديثة العهد دي هتحتاج خواص مختلفة أو سبل تكيف عشان تبقى منافس أقوي لو عملنا مقارنة بالقوة اللي احتاجتها قبل كده.,['البيئة الجديدة دي فيها موارد مختلفة ومنافسين مختلفين، فالسكان الجدد هيحتاجوا ميزات أو تكيفات مختلفة عشان يكونوا منافسين أقوياء عن اللي كانوا محتاجينه قبل كده.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e56cf370>,27.39513136974219,42.1248902743827,0.5623392911541316,0.9812054634094238,0.5731106400489807,0.9821851891465485,0.5629007823984076,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nThis new environment has different resources and different competitors, so the new population will need different features or adaptations to be a strong competitor than what they had needed before.\nTranslation:'}]}]",False,,egy,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,لو عاوز تعرف أخبار عن البطولات وأماكن شراء تذاكر مباريات البولو، ادخل اتفرج على رابطة البولو الأرجنتينية.,['لمعرفة أخبار البطولات وأماكن شراء تذاكر مباريات البولو، تحقق من جمعية الأرجنتين للبولو.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e56cf430>,50.3737386461492,53.706219945622834,0.00020902490700393933,0.008481590077280998,0.02464454248547554,0.01103673130273819,0.0002719951934911091,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nFor news on tournaments and where to buy tickets for polo matches, check Asociacion Argentina de Polo.\nTranslation:'}]}]",False,,egy,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,وبعد كل ده، القائد هو اللي بيتحمل النجاح والفشل للفريق.,['في النهاية، القائد هو المسؤول في النهاية عن نجاح وفشل الفريق.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e56cf790>,14.569814203855376,35.45273198716327,0.0,0.1262289136648178,0.0,0.13603618275374174,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nAfter all, the leader is ultimately responsible for the success and failure of the team.\nTranslation:'}]}]",False,,egy,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,بالنسبة للستات: بدون ما نبص على الحالة الاجتماعية الفعلية، لازم الستات إللي هيسافروا  يعلنوا إنهم متزوجات.,['ينصح بأن تقول أي امرأة مسافرة إنها متزوجة بغض النظر عن حالتها الاجتماعية الفعلية.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e56cf3d0>,12.993825670906338,24.06461252304051,0.0,0.00427503976970911,0.0,0.006900380365550518,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nWomen: It is recommended that any women travellers say that they are married, regardless of actual marital status.\nTranslation:'}]}]",False,,egy,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,كتير من الإيقاعات اللي بتترصد في علم وظائف الأعضاء والسلوك بتعتمد بشكل كبير في أوقات كتيرة على وجود دورات ذاتية وإنتاجها عن طريق الساعات البيولوجية.,['كتير من الإيقاعات الملحوظة في الفسيولوجيا والسلوك بتعتمد بشكل كبير على وجود الدورات الذاتية وإنتاجها من خلال الساعات البيولوجية.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e56cf850>,41.43533483422354,55.17519392256619,0.0029464490089506357,0.01623828336596489,0.1814507693052292,0.09250236675143242,0.016784625609601866,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nMany observed rhythms in physiology and behavior often crucially depend on the presence of endogenous cycles and their production through biological clocks.\nTranslation:'}]}]",False,,egy,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,معظم رحلات البلطيق المتميزة بيكون فيها ميزة الإقامة الدائمة في سانت بطرسبرغ بروسيا.,['معظم رحلات البلطيق المميزة بتتضمن إقامة مطولة في سانت بطرسبرغ، روسيا.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e56cfc70>,42.95016877118717,50.77706140030408,0.0006150253106260023,0.0457259863615036,0.013450236059725285,0.049680689349770546,0.0006682169993642937,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nMost of the distinct Baltic Cruises feature an extended stay in St. Petersburg, Russia.\nTranslation:'}]}]",False,,egy,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,لما بيتربى عن طريق حيوانات غير بشرية، الطفل الوحشي بيظهر سلوكيات (ضمن الحدود المادية) تشبه أوي سلوكيات حيوان الرعاية الخاصة، زي الخوف من البشر أو عدم الاكتراث بهم.,['لما الطفل البري يتربى بالكامل مع حيوانات غير بشرية، بيظهر سلوكيات (في حدود قدراته الجسدية) شبه تمامًا سلوكيات الحيوان اللي بيرعاه، زي خوفه أو عدم اهتمامه بالبشر.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e578b760>,22.7203840286675,42.44263183828138,0.45274439876977723,0.9683119058609009,0.4675604999065399,0.9704474450554699,0.4537428925431599,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nWhen completely brought up by non-human animals, the feral child exhibits behaviors (within physical limits) almost entirely like those of the particular care-animal, such as its fear of or indifference to humans.\nTranslation:'}]}]",False,,egy,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,نظريتين مشهورين للمحتوى هما تسلسل ماسلو الهرمي للاحتياجات و نظرية العامل الثاني لهيرزبرج.,['نظريتين مشهورتين في محتوى الدوافع هما نظرية هرم ماسلو للاحتياجات ونظرية العاملين لهيرتزبيرج.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e578bdc0>,19.53845407493818,46.811929026471546,0.0,0.2370150238275528,0.0,0.2807081900537014,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': ""Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nTwo popular content theories are Maslow's Hierarchy of Needs Theory and Hertzberg's Two Factor Theory.\nTranslation:""}]}]",False,,egy,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,وصلت للاستنتاج ده عشان التعليقات الإيجابية والتشجيعات اللي بعتها لها ستات ورجالة بيشجعوا أن أدوية منع الحمل حاجة طبية ضرورية.,['هي وصلت لهذا الاستنتاج بسبب كثرة التعليقات الإيجابية والتشجيع اللي وصلها من الأفراد سواء كانوا نساء أو رجال، اللي بيحثوا على اعتبار أدوية منع الحمل ضرورة طبية.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e578bb50>,29.898673895484684,46.85018962743507,0.001506204924435428,0.003982122056186199,0.37824177742004395,0.00841496093198657,0.00318288977983483,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nShe came to this conclusion due to the multitude of positive comments and encouragement sent to her by both female and male individuals urging that contraception medication be considered a medical necessity.\nTranslation:'}]}]",False,,egy,False,None,None,None
