estimator,from_cache,completion,generations,finish_reasons,turns,response_spBLEU,response_chrF,_raw_turns,chat_preamble,dialectid_score,dialectid_prob,dialectness,macro_prob,macro_score,desired_output_dialect,too_few_tokens,error,tool_calls,tool_results
OpenAIAPI:gpt-4o-2024-05-13,True,هل توجد مضيفات يتحدثن اليابانية ؟,['هل هناك مضيفات يتحدثن اليابانية؟'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e8798dc0>,67.09489882833027,67.74581945310446,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nفيه مضيفات يتكلمون ياباني؟\nTranslation:'}]}]",,0,0,0,0,0,ar,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,True,قهوة مع القشدة والسكر ، من فضلك .,['قهوة مع الكريمة والسكر، من فضلك.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e86dea00>,22.162547573048695,70.06139611237757,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nقهوة بالكريمة و السكر، لو سمحت.\nTranslation:'}]}]",,0,0,0,0,0,ar,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,True,هل هناك مضيفات يتحدثن اليابانية ؟,['هل هناك مضيفة تتحدث اليابانية؟'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e86dea90>,21.386638885976566,56.41649640864597,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nفيه مضيفة تتكلم ياباني؟\nTranslation:'}]}]",,0,0,0,0,0,ar,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,True,فقدت بطاقة المطالبة .,['فقدت إيصال الاستلام.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e86de9d0>,11.386050660556927,19.96119281045752,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nضيعت علامة الاستلام.\nTranslation:'}]}]",,0,0,0,0,0,ar,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,True,دعنا نجتمع لنبحث الأمر أكثر .,['دعونا نجتمع لنناقش هذا أكثر.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e86de0d0>,16.784459625186194,41.49468594906238,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nخلنا نجتمع عشان نناقش هذا اكثر.\nTranslation:'}]}]",,0,0,0,0,0,ar,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,False,أريد أن أرى الميناء .,['أريد أن أرى الميناء.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e86de220>,80.91067115702207,100.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nابغى اشوف الميناء.\nTranslation:'}]}]",,0,0,0,0,0,ar,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,False,أين أقرب صيدلية ؟,['أين أقرب صيدلية؟'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e86de100>,80.91067115702207,86.21870109546165,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nوين اقرب صيدلي؟\nTranslation:'}]}]",,0,0,0,0,0,ar,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,False,أظن أنه بديع المنظر .,['أعتقد أنه مسرحي.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e86de130>,6.870636427700047,15.322115623114804,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nاعتقد انه مسرحي.\nTranslation:'}]}]",,0,0,0,0,0,ar,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,False,ماذا سيعرض في قاعة الحفلات الموسيقية اليوم ؟,['ما الذي يُعزف اليوم في قاعة الاحتفالات؟'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e86deb80>,9.782375748961453,31.075072769144345,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nوش ينعزف اليوم في قاعة الاحتفالات؟\nTranslation:'}]}]",,0,0,0,0,0,ar,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,False,خذني إلى المستشفى .,['خذني إلى المستشفى.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e86deb50>,75.98356856515926,100.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nخذني للمستشفى.\nTranslation:'}]}]",,0,0,0,0,0,ar,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,False,"آوه , الأمر بسيط ، هل أنت هنا ، على أية حال .",['أوه، لا شيء. أنت هنا، على أي حال.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e86deaf0>,5.771298850643905,36.7064739321297,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nاوه، ولا شيء. انت هنا، على كل حال.\nTranslation:'}]}]",,0,0,0,0,0,ar,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,False,كان يفترض أن تسافر على الطائرة رقم ثمانية اثنان صفر التي أقلعت منذ خمس عشرة دقيقة . حسنا . بإمكاني تنظيم رحلة أخرى .,['كان من المفترض أن تأخذ الرحلة ثمانية اثنين صفر، التي أقلعت قبل خمسة عشر دقيقة. حسنًا. أستطيع أن أرتب لك رحلة أخرى.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e86deee0>,13.574363003136735,40.691345352970416,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nكان مفروض تأخذ الرحلة ثمانية اثنين صفر، اللي أقلعت قبل خمسة عشر دقيقة. طيب. اقدر ارتب لك رحلة ثانية.\nTranslation:'}]}]",,0,0,0,0,0,ar,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,False,"إن "" السنة "" متقلقلة .",['هذا السن متخلخل.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e86d8670>,5.08764122072739,15.01850317887367,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nهذا السن رخو.\nTranslation:'}]}]",,0,0,0,0,0,ar,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,False,مقعد ممنوع به التدخين ، من فضلك .,['مقعد لغير المدخنين، من فضلك.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e86d8940>,10.600313379512592,43.53039917620138,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nمقعد لغير المدخنين، لو سمحت.\nTranslation:'}]}]",,0,0,0,0,0,ar,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,False,كم يكلف عش الغراب الطازج ؟,['بكم الفطر الطازج؟'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e86d8910>,16.009559139455188,26.042612438877615,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nبكم الفطر الطازج؟\nTranslation:'}]}]",,0,0,0,0,0,ar,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,False,إذا كان بالإمكان ، لم أكن لأخلع السنّة .,['إذا أمكن، لا أريد خلع الضرس.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e86d87f0>,3.098174990685587,18.25368069259534,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nاذا ممكن، ما ابغى اخلع الضرس.\nTranslation:'}]}]",,0,0,0,0,0,ar,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,False,نرغب في حجرة تطل على البحيرة .,['نريد غرفة تطل على البحيرة.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e86d86a0>,42.326181966045375,61.787052281947766,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nنبغى غرفة مطلة على البحيرة.\nTranslation:'}]}]",,0,0,0,0,0,ar,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,False,أفهم ، لكن لا أستطيع أن أقولها .,['أفهم، لكن لا أستطيع قوله.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e86d8340>,20.130954856436926,62.78078006890805,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nافهم، بس ما اقدر أقوله.\nTranslation:'}]}]",,0,0,0,0,0,ar,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,False,ابحث عن كروت لمناظر تعكس طبيعة جزر هاواي .,['أبحث عن بطاقات تقليدية من هاواي.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e86d85b0>,4.654169082794504,25.132402272934446,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nادور على بطائق تقليدية من هاواي.\nTranslation:'}]}]",,0,0,0,0,0,ar,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,False,"معذرة , قم بالضغط على مصراعي النافذة الخشبيين , من فضلك .",['اعذرني. اضغط زر التصوير، من فضلك.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e86d8370>,3.812406893732916,21.295307250984834,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nاعذرني. اضغط زر التصوير، لو سمحت.\nTranslation:'}]}]",,0,0,0,0,0,ar,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,False,تبدو البونساي كهواية شخص هرم .,['البونساي هواية العجائز.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e86d8df0>,22.652581507881553,31.890030765678123,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nبونساي شكلها هواية العجائز.\nTranslation:'}]}]",,0,0,0,0,0,ar,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,False,هل أستطيع الحصول على تذكرة متعددة الاستخدام ؟,['هل يمكنني الحصول على تذكرة متعددة؟'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e86d8e50>,43.742343691381734,51.304510320603946,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nاقدر اخذ تذكرة متعددة؟\nTranslation:'}]}]",,0,0,0,0,0,ar,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,False,أريد بعض التفاح ، من فضلك .,['أريد تفاحًا، من فضلك.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e86d8e20>,11.339582221952005,48.18846979075156,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nابغى تفاح، لو سمحت.\nTranslation:'}]}]",,0,0,0,0,0,ar,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,False,لقد تمكنت ن تحقيق ذلك .,['أنت فعلتها.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e86d83a0>,0.0,6.939143341815098,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nانت فعلتها.\nTranslation:'}]}]",,0,0,0,0,0,ar,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,False,مائة وخمسة وثلاثون ين للدولار الواحد .,['مئة وخمسة وثلاثون ين لكل دولار.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e86d84f0>,51.908776981193476,59.51783496546813,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nمئة و خمس و ثلاثين ين لكل دولار.\nTranslation:'}]}]",,0,0,0,0,0,ar,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,False,هل هو محجوز بالكامل ؟,['هل ما يزال محجوزًا بالكامل؟'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e86d83d0>,16.59038701421971,41.52474239822436,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nهل ما يزال محجوز بالكامل؟\nTranslation:'}]}]",,0,0,0,0,0,ar,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,False,ما عرض الأوبرا اليوم ؟,['ماذا يوجد في الأوبرا اليوم؟'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e86d8400>,34.57207846419409,51.98125318705353,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nوش فيه في الاوبرا اليوم؟\nTranslation:'}]}]",,0,0,0,0,0,ar,False,None,None,None
