,score,prob,dialectness,macro_score
BTEC--dza,0.1201075001746439,0.233849087372655,0.3773647141642868,0.3566026130948904
BTEC--egy,0.4757727890104786,0.6351452975696884,0.5651541201397776,0.4890005635313516
BTEC--sau,0.146693922205696,0.2933241229010309,0.314520178316161,0.2332858559739475
BTEC--syr,0.1570145741444681,0.2414069079209002,0.4289437907561659,0.3215583182337111
BTEC--mar,0.3647508236876928,0.7809646689286456,0.3861147542670369,0.3697310694842852
BTEC--pse,0.0807796301429309,0.1624046098964754,0.3427730706520379,0.2691872400665503
BTEC--sdn,0.1729829950493387,0.329149262609717,0.3678705171216279,0.2891491790818422
FLORES--egy,0.2448348989393102,0.4243901474121958,0.3088655189424753,0.2582584646472464
FLORES--sau,0.0188105468347573,0.1430555310237105,0.0722896503843367,0.0417855784085075
FLORES--syr,0.0928439054002793,0.2000303363743296,0.3175913579575717,0.2603086427879525
FLORES--mar,0.2745984181941046,0.6126640297588892,0.3132219845987856,0.3021505530967331
FLORES--pse,0.0224146545709129,0.0593597092162235,0.2333569868933409,0.1770505483383551
HABIBI--dza,0.0727599381640115,0.1385065552351351,0.3968379024373389,0.381352771501828
HABIBI--egy,0.3663452003781774,0.5384797497891123,0.4676723910029977,0.3708239438618728
HABIBI--sau,0.1027999638811356,0.284835240879911,0.2763890714757144,0.1744078460791294
HABIBI--syr,0.1339650128139706,0.2184572645541629,0.4730739349778741,0.2763250830500917
HABIBI--kwt,0.0191344571840271,0.0419937075040798,0.3183555683866143,0.1923256044605212
HABIBI--mar,0.3329382241888996,0.7608671910705743,0.3737171389721334,0.3672794857734864
HABIBI--pse,0.0404283111818491,0.0823386543453148,0.3094159680036589,0.1483364004168097
HABIBI--sdn,0.0956385508260713,0.2853601033838781,0.2885549510178226,0.2192220346248041
TWEET--dza,0.2332641902861773,0.34406423904642,0.3857238303031772,0.3668893403397398
TWEET--egy,0.4558748968044222,0.6027736360230483,0.5304246708098799,0.469387786804869
TWEET--sau,0.291286538338955,0.5423457743838662,0.3755237063392996,0.339050354597592
TWEET--syr,0.368449992064386,0.5274949828977696,0.5676719703897833,0.5115411360145009
TWEET--kwt,0.0790871207710759,0.1289652034224127,0.319169885981828,0.2499505192557921
TWEET--mar,0.3207649162267907,0.7993071852996946,0.3462196685839444,0.3363790348239985
TWEET--pse,0.170855253054893,0.3053754488704726,0.4137198701128363,0.3388774880243003
TWEET--sdn,0.3393185818503499,0.603727879297221,0.4333346114587039,0.3639678691284825
