,SpBLEU_corpus_score,ChrF_corpus_score
Madar26--dza_to_eng,0.0145855186204756,0.1316194235537425
Madar26--egy_to_eng,0.0189607678664723,0.1409842316260778
Madar26--sau_to_eng,0.0251702707616122,0.1591361368742105
Madar26--syr_to_eng,0.0173868532554814,0.1408465074925346
Madar26--mar_to_eng,0.0185942003771589,0.1415983074632216
Madar26--pse_to_eng,0.0173043769074196,0.1358824807878434
Madar26--sdn_to_eng,0.0226515625133287,0.1521829961477896
Madar26--eng_to_dza,0.0032277163363277,0.0462318401478235
Madar26--eng_to_egy,0.0045191069465788,0.0659805520998136
Madar26--eng_to_sau,0.0080158980966954,0.0722580744864322
Madar26--eng_to_syr,0.0039471292317998,0.0594351265445441
Madar26--eng_to_mar,0.0027826456321984,0.0569599442659632
Madar26--eng_to_pse,0.0055211011083277,0.0615353220015284
Madar26--eng_to_sdn,0.0049356604370322,0.0582165237882667
Madar26--dza_to_msa,0.0074350639164306,0.0806296737069712
Madar26--egy_to_msa,0.0090141558114847,0.0869373561009345
Madar26--sau_to_msa,0.0122207052613909,0.0953584116791909
Madar26--syr_to_msa,0.008984687216956,0.0790987692129049
Madar26--mar_to_msa,0.0100721761027152,0.0839030001535158
Madar26--pse_to_msa,0.0095334540219537,0.078549620187633
Madar26--sdn_to_msa,0.0084244191669004,0.0834541470683414
Madar26--msa_to_dza,0.0073991865311845,0.0836801483482346
Madar26--msa_to_egy,0.0079581256144364,0.0767054147306373
Madar26--msa_to_sau,0.0121542025545009,0.0973309563872948
Madar26--msa_to_syr,0.0079571212950812,0.0747764975807221
Madar26--msa_to_mar,0.0090663490038868,0.0846504680441745
Madar26--msa_to_pse,0.0079988386331947,0.0756849091562661
Madar26--msa_to_sdn,0.0097584913994214,0.0878926856225521
Flores200--egy_to_eng,0.0695726558530443,0.3699236249591238
Flores200--sau_to_eng,0.0840513892015143,0.3962682047789358
Flores200--syr_to_eng,0.0772547623302762,0.3821999675393709
Flores200--mar_to_eng,0.0557980672285187,0.344717443955286
Flores200--pse_to_eng,0.0806333204819849,0.3908729800542888
Flores200--eng_to_egy,0.0496904252797904,0.2349567904516684
Flores200--eng_to_sau,0.0681431377927073,0.25926903570936
Flores200--eng_to_syr,0.0446755908093675,0.2240298547424854
Flores200--eng_to_mar,0.0231497766392714,0.1578785365555546
Flores200--eng_to_pse,0.0542410556869016,0.2448166598416835
Flores200--egy_to_msa,0.1250031875614241,0.3506975094304791
Flores200--sau_to_msa,0.2645382646789148,0.5536865531376911
Flores200--syr_to_msa,0.0993730992447178,0.3128966844091476
Flores200--mar_to_msa,0.0895207714873551,0.2920523277544091
Flores200--pse_to_msa,0.1026439724544211,0.3202730576100976
Flores200--msa_to_egy,0.1029366084461748,0.3246406826996766
Flores200--msa_to_sau,0.2389205327457341,0.5226144049373608
Flores200--msa_to_syr,0.086707512815655,0.3163813818321117
Flores200--msa_to_mar,0.0590700957248191,0.2465232988906878
Flores200--msa_to_pse,0.0968456190239212,0.3391563553979086
