,score,prob,dialectness,macro_score
HEHE--dza,0.0930314343166383,0.1839095440634992,0.1985040403178168,0.1857086580650304
HEHE--egy,0.3250758272539385,0.5241047994156057,0.3662737573652218,0.3370919526677138
HEHE--sau,0.0200853730771212,0.0711849851637392,0.0443046431442221,0.03717813133179
HEHE--syr,0.0896110454484589,0.1582792127427547,0.2088311760108099,0.1808772454690102
HEHE--kwt,0.0154390958661127,0.0270160682701536,0.186398128341822,0.1588154781849616
HEHE--mar,0.2948258443622174,0.6685795972386942,0.3030763543312154,0.2998822645558663
HEHE--pse,0.0482582474239139,0.1173067783526241,0.2409831967518624,0.1663379597746407
HEHE--sdn,0.0444922941986092,0.0812580356833159,0.176895465253682,0.0773986322086411
Okapi--dza,0.1940885442711644,0.6085862700192957,0.2401519803330302,0.2355268043586483
Okapi--egy,0.4248392297285133,0.8557009300217032,0.4579490587487816,0.4272117139084576
Okapi--sau,0.0027564132248549,0.1572703153686598,0.018474001440918,0.0129808658579816
Okapi--syr,0.0825329718102111,0.4437199233402498,0.1817134826758411,0.163542696639628
Okapi--kwt,0.0065804188493258,0.1284963715824415,0.0965588269464206,0.0848309945071059
Okapi--mar,0.3588017339220133,0.9088215873297304,0.3626321577094495,0.3593917188382681
Okapi--pse,0.0426749421601029,0.3661252910131589,0.1233633080578874,0.0943973215119063
Okapi--sdn,0.0550640404549481,0.6008887660491746,0.0990220342064276,0.083016076172143
ShareGPT--dza,0.1519423608728916,0.3982758921140339,0.2639978974929545,0.2500570956232877
ShareGPT--egy,0.375661779224386,0.8250248092226684,0.4013731683045625,0.3766000159958003
ShareGPT--sau,0.0092929833353384,0.1954508389587863,0.0421870952512836,0.0226144076581777
ShareGPT--syr,0.1205348439253418,0.3539094135852065,0.2690966349700466,0.2415121158525343
ShareGPT--kwt,0.0132488772870442,0.1117950601945631,0.1716414611932123,0.1631719007570021
ShareGPT--mar,0.3563303244944804,0.9264385010581464,0.357894654199481,0.3566504004757322
ShareGPT--pse,0.0559613405791774,0.2241320540243759,0.2409464960719924,0.1953274277554514
ShareGPT--sdn,0.0833650101883959,0.3404310231033014,0.2704836459690705,0.2099740350773571
