,score,prob,dialectness,macro_score
HEHE--dza,0.0010454908729898,0.0113590060074823,0.0021521690331639,0.0012229601261348
HEHE--egy,0.0007640415086235,0.0315592802472804,0.002469259950847,0.0007782940983372
HEHE--sau,2.4752080272427343e-05,0.0056866906202768,4.741825884388339e-05,3.8885151667840794e-05
HEHE--syr,0.000600827975781,0.0139483997137636,0.0026469970552591,0.0006871513952433
HEHE--kwt,6.983773189325596e-06,0.0009925688752749,0.0013573658186942,0.000499726605729
HEHE--mar,1.2649017411471564e-05,0.0158362994504083,0.0014536223801163,2.6660804965951716e-05
HEHE--pse,2.416347738518465e-05,0.0005841118662239,0.0017371419612522,0.0001551158085646
HEHE--sdn,1.5448045048071168e-05,0.0004841533441225,0.0043039437323967,0.0004253032875065
Okapi--dza,0.0,0.0,0.0,0.0
Okapi--egy,0.0,0.0,0.0,0.0
Okapi--sau,0.000128359520158,0.0007252935681026,0.0041763259470462,0.0016514071283987
Okapi--syr,0.0,0.0,0.0,0.0
Okapi--kwt,0.0,0.0,0.0,0.0
Okapi--mar,1.5141262990939902e-06,4.633613396435976e-05,0.0003267700970172,1.6688577972377024e-05
Okapi--pse,2.8941153272505487e-06,0.0002138036862015,0.0001353632099926,1.4986719004813648e-05
Okapi--sdn,0.0,0.0,0.0,0.0
ShareGPT--dza,0.0,4.056214820593595e-05,0.0,0.0
ShareGPT--egy,0.0,0.0,0.0,0.0
ShareGPT--sau,0.0,0.0002576403244577,0.0,0.0
ShareGPT--syr,0.0,0.0,0.0,0.0
ShareGPT--kwt,0.0,0.0,0.0,0.0
ShareGPT--mar,0.0,0.0,0.0,0.0
ShareGPT--pse,0.0008834108478441,0.0099737604847177,0.001856340765953,0.0009870680559865
ShareGPT--sdn,7.820019520181354e-05,0.0098227533546742,7.971939630806446e-05,7.826365961898443e-05
