,SpBLEU_corpus_score,ChrF_corpus_score
Madar26--dza_to_eng,0.3830175638843806,0.552443269938922
Madar26--egy_to_eng,0.4490421303649464,0.6201133743326885
Madar26--sau_to_eng,0.5253255155581974,0.6752409331764381
Madar26--syr_to_eng,0.4625967221183494,0.6228088068286423
Madar26--eng_to_dza,0.1435345372030551,0.3109436111341563
Madar26--eng_to_egy,0.2288658526615929,0.3744759687348271
Madar26--eng_to_sau,0.2273875357850177,0.388427732584064
Madar26--eng_to_syr,0.1804483106127533,0.3288236779049081
Madar26--dza_to_msa,0.185834645687189,0.387123895232152
Madar26--egy_to_msa,0.2318603526707142,0.4264452497232362
Madar26--sau_to_msa,0.2344667434513426,0.4499122626656712
Madar26--syr_to_msa,0.2403151293797676,0.4343411266268394
Madar26--msa_to_dza,0.1170688456748321,0.3126050100414098
Madar26--msa_to_egy,0.238473844684855,0.3935674108120203
Madar26--msa_to_sau,0.141372982856892,0.347308996723245
Madar26--msa_to_syr,0.2062812719407276,0.3921455442763121
Flores200--egy_to_eng,0.3734368787167624,0.5848916252222944
Flores200--sau_to_eng,0.4514595463942837,0.6482773030725977
Flores200--syr_to_eng,0.4185008997176246,0.6197499716541517
Flores200--eng_to_egy,0.2815766290042999,0.427595527950463
Flores200--eng_to_sau,0.4043279013319731,0.539201780162342
Flores200--eng_to_syr,0.2936274051954363,0.4676643919759724
Flores200--egy_to_msa,0.4748885463656666,0.5914775290486198
Flores200--sau_to_msa,0.6304048696251163,0.7264345517542349
Flores200--syr_to_msa,0.3972563725518591,0.5289024524509313
Flores200--msa_to_egy,0.3766951531581855,0.5102303613437578
Flores200--msa_to_sau,0.3630063510764685,0.510883373826726
Flores200--msa_to_syr,0.3091657696838187,0.4641133840607159
