model,genre,dialect,score,prob,dialectness,macro_score
command_r+,BTEC,dza,22.0%,33.6%,48.3%,35.6%
command_r+,BTEC,egy,23.8%,41.4%,37.8%,24.5%
command_r+,BTEC,sau,3.7%,11.5%,23.5%,10.3%
command_r+,BTEC,syr,18.9%,28.4%,52.3%,43.5%
command_r+,FLORES,egy,20.9%,39.4%,27.0%,21.2%
command_r+,FLORES,sau,0.3%,5.0%,7.4%,2.7%
command_r+,FLORES,syr,7.5%,16.8%,28.1%,20.7%
command_r+,HABIBI,dza,11.6%,22.0%,42.5%,23.0%
command_r+,HABIBI,egy,30.1%,47.2%,49.2%,30.2%
command_r+,HABIBI,sau,1.0%,4.8%,23.5%,13.0%
command_r+,HABIBI,syr,6.9%,12.7%,42.2%,20.8%
command_r+,TWEET,dza,32.2%,49.9%,51.4%,42.7%
command_r+,TWEET,egy,33.1%,47.0%,45.0%,33.3%
command_r+,TWEET,sau,9.9%,32.0%,27.5%,19.1%
command_r+,TWEET,syr,22.5%,51.9%,40.6%,36.6%
command_r+_base,BTEC,dza,29.7%,36.7%,73.8%,60.2%
command_r+_base,BTEC,egy,50.0%,63.3%,77.8%,50.2%
command_r+_base,BTEC,sau,6.0%,9.5%,60.4%,30.2%
command_r+_base,BTEC,syr,17.7%,22.4%,74.8%,63.1%
command_r+_base,FLORES,egy,39.3%,58.7%,61.2%,39.6%
command_r+_base,FLORES,sau,0.7%,2.3%,29.6%,7.1%
command_r+_base,FLORES,syr,7.3%,16.0%,47.2%,41.4%
command_r+_base,HABIBI,dza,25.7%,31.9%,75.2%,57.9%
command_r+_base,HABIBI,egy,51.0%,64.1%,73.1%,51.3%
command_r+_base,HABIBI,sau,2.1%,4.6%,56.9%,25.5%
command_r+_base,HABIBI,syr,12.4%,15.3%,76.6%,63.2%
command_r+_base,TWEET,dza,49.3%,59.3%,77.7%,64.9%
command_r+_base,TWEET,egy,53.8%,64.3%,77.4%,53.9%
command_r+_base,TWEET,sau,14.6%,22.6%,58.7%,38.1%
command_r+_base,TWEET,syr,31.5%,48.1%,65.8%,60.2%
