estimator,completion,generations,finish_reasons,turns,response_spBLEU,response_chrF,raw_prompt,_raw_turns,from_cache,chat_preamble,dialectid_score,dialectid_prob,dialectness,macro_prob,macro_score,desired_output_dialect,too_few_tokens,error,tool_calls,tool_results
Blobheart:command-r,"When you went abroad at first, people were probably patient and understanding, knowing that travellers in a new country need to adapt.","['When you travel for the first time, people are patient and understanding that those who come to a new country need time to adapt.']",['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3ed1dbe20>,19.555598541862505,55.169701275227546,"<BOS_TOKEN><|START_OF_TURN_TOKEN|><|USER_TOKEN|>Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.
لما تسافر أول مرة، الناس بتكون صبورة وبتتفهم إنه الأشخاص اللي بيجوا على بلد جديد يبحتاجوا وقت ليتأقلموا.
Translation:<|END_OF_TURN_TOKEN|><|START_OF_TURN_TOKEN|><|CHATBOT_TOKEN|>","[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nلما تسافر أول مرة، الناس بتكون صبورة وبتتفهم إنه الأشخاص اللي بيجوا على بلد جديد يبحتاجوا وقت ليتأقلموا.\nTranslation:'}]}]",False,,0,0,0,0,0,en,False,None,None,None
Blobheart:command-r,"This new environment has different resources and different competitors, so the new population will need different features or adaptations to be a strong competitor than what they had needed before.","['The new environment contains different resources and different competitors. For this reason, the new inhabitants will require different adaptations and advantages to be as competitive as their predecessors.']",['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3ecbe8bb0>,20.665100326676693,51.9407403514874,"<BOS_TOKEN><|START_OF_TURN_TOKEN|><|USER_TOKEN|>Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.
بتحتوي البيئة الجديدة على موارد مختلفة ومنافسين مختلفين، لهالسبب رح يحتاج السكان الجدد لميزات أو تعديلات مختلفة ليكونوا منافسين أقويا بعكس اللي كانوا عليه من قبل.
Translation:<|END_OF_TURN_TOKEN|><|START_OF_TURN_TOKEN|><|CHATBOT_TOKEN|>","[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nبتحتوي البيئة الجديدة على موارد مختلفة ومنافسين مختلفين، لهالسبب رح يحتاج السكان الجدد لميزات أو تعديلات مختلفة ليكونوا منافسين أقويا بعكس اللي كانوا عليه من قبل.\nTranslation:'}]}]",False,,0,0,0,0,0,en,False,None,None,None
Blobheart:command-r,"For news on tournaments and where to buy tickets for polo matches, check Asociacion Argentina de Polo.","['For news about tournaments and where to buy tickets for polo matches, check out Asociacion Argentina de Polo.']",['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3ecbe8880>,77.84143109109205,89.84019975267715,"<BOS_TOKEN><|START_OF_TURN_TOKEN|><|USER_TOKEN|>Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.
للحصول على أخبار عن البطولات وأماكن شراء تذاكر مباريات البولو، شوف Asociacion Argentina de Polo.
Translation:<|END_OF_TURN_TOKEN|><|START_OF_TURN_TOKEN|><|CHATBOT_TOKEN|>","[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nللحصول على أخبار عن البطولات وأماكن شراء تذاكر مباريات البولو، شوف Asociacion Argentina de Polo.\nTranslation:'}]}]",False,,0,0,0,0,0,en,False,None,None,None
Blobheart:command-r,"After all, the leader is ultimately responsible for the success and failure of the team.","[""After all, the leader is ultimately responsible for the team's success or failure.""]",['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3ecbe8790>,63.4192268377597,77.7067714780685,"<BOS_TOKEN><|START_OF_TURN_TOKEN|><|USER_TOKEN|>Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.
بعد كل شي، القائد هو المسؤول بالنهاية عن نجاح وفشل الفريق.
Translation:<|END_OF_TURN_TOKEN|><|START_OF_TURN_TOKEN|><|CHATBOT_TOKEN|>","[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nبعد كل شي، القائد هو المسؤول بالنهاية عن نجاح وفشل الفريق.\nTranslation:'}]}]",False,,0,0,0,0,0,en,False,None,None,None
Blobheart:command-r,"Women: It is recommended that any women travellers say that they are married, regardless of actual marital status.","[""Ladies: It's best for any female traveler to say she's married, regardless of her actual marital status.""]",['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3ecbe86a0>,28.495577603220298,47.81512354883149,"<BOS_TOKEN><|START_OF_TURN_TOKEN|><|USER_TOKEN|>Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.
السيدات: من الأفضل تقول أي مسافرة إنها متزوجة، بغض النظر عن حالتها الاجتماعية الفعلية.
Translation:<|END_OF_TURN_TOKEN|><|START_OF_TURN_TOKEN|><|CHATBOT_TOKEN|>","[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nالسيدات: من الأفضل تقول أي مسافرة إنها متزوجة، بغض النظر عن حالتها الاجتماعية الفعلية.\nTranslation:'}]}]",False,,0,0,0,0,0,en,False,None,None,None
Blobheart:command-r,Many observed rhythms in physiology and behavior often crucially depend on the presence of endogenous cycles and their production through biological clocks.,['Many of the rhythms observed in physiology and behaviour depend heavily on the existence of internal cycles generated by biological clocks.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3ecbe85b0>,25.266327969722212,49.330672776586596,"<BOS_TOKEN><|START_OF_TURN_TOKEN|><|USER_TOKEN|>Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.
بتعتمد العديد من الإيقاعات المرصودة بعلم وظايف الأعضاء والسلوك كتير على وجود دورات داخلية وإنتاجها من خلال الساعات البيولوجية.
Translation:<|END_OF_TURN_TOKEN|><|START_OF_TURN_TOKEN|><|CHATBOT_TOKEN|>","[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nبتعتمد العديد من الإيقاعات المرصودة بعلم وظايف الأعضاء والسلوك كتير على وجود دورات داخلية وإنتاجها من خلال الساعات البيولوجية.\nTranslation:'}]}]",False,,0,0,0,0,0,en,False,None,None,None
Blobheart:command-r,"Most of the distinct Baltic Cruises feature an extended stay in St. Petersburg, Russia.","['Most Baltic cruises feature an extended stay in St. Petersburg, Russia.']",['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3ecbe84c0>,63.903113678157105,76.34802538178434,"<BOS_TOKEN><|START_OF_TURN_TOKEN|><|USER_TOKEN|>Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.
بتضم معظم رحلات البلطيق المتميزة بإقامة طويلة بسانت بطرسبرغ بروسيا.
Translation:<|END_OF_TURN_TOKEN|><|START_OF_TURN_TOKEN|><|CHATBOT_TOKEN|>","[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nبتضم معظم رحلات البلطيق المتميزة بإقامة طويلة بسانت بطرسبرغ بروسيا.\nTranslation:'}]}]",False,,0,0,0,0,0,en,False,None,None,None
Blobheart:command-r,"When completely brought up by non-human animals, the feral child exhibits behaviors (within physical limits) almost entirely like those of the particular care-animal, such as its fear of or indifference to humans.","['When a child is raised with non-human animals, he begins to make movements (within the physical limits) that are exactly like those of the animals, such as fear of humans or indifference towards them.']",['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3ecbe83d0>,26.688270499555816,51.114252247790134,"<BOS_TOKEN><|START_OF_TURN_TOKEN|><|USER_TOKEN|>Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.
لما يتربى الولد مع حيوانات غير بشرية ببلش يعمل حركات (ضمن الحدود الجسدية) بتشبه تمامًا حركات الحيوانات متل خوفه من البشر أو لا مبالاته تجاههم.
Translation:<|END_OF_TURN_TOKEN|><|START_OF_TURN_TOKEN|><|CHATBOT_TOKEN|>","[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nلما يتربى الولد مع حيوانات غير بشرية ببلش يعمل حركات (ضمن الحدود الجسدية) بتشبه تمامًا حركات الحيوانات متل خوفه من البشر أو لا مبالاته تجاههم.\nTranslation:'}]}]",False,,0,0,0,0,0,en,False,None,None,None
Blobheart:command-r,Two popular content theories are Maslow's Hierarchy of Needs Theory and Hertzberg's Two Factor Theory.,"[""Two popular theories of content are Maslow's hierarchy of needs theory and Herzberg's two-factor theory.""]",['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3ecbe82e0>,23.21713238660004,56.4285125264437,"<BOS_TOKEN><|START_OF_TURN_TOKEN|><|USER_TOKEN|>Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.
نظريتين منتشرين للمحتوى هن التسلسل الهرمي لنظرية الاحتياجات لماسلو ونظرية العامل التاني لهيرتسبرج.
Translation:<|END_OF_TURN_TOKEN|><|START_OF_TURN_TOKEN|><|CHATBOT_TOKEN|>","[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nنظريتين منتشرين للمحتوى هن التسلسل الهرمي لنظرية الاحتياجات لماسلو ونظرية العامل التاني لهيرتسبرج.\nTranslation:'}]}]",False,,0,0,0,0,0,en,False,None,None,None
Blobheart:command-r,She came to this conclusion due to the multitude of positive comments and encouragement sent to her by both female and male individuals urging that contraception medication be considered a medical necessity.,"['She arrived at this conclusion due to the many positive comments and encouragements from men and women alike, who have supported the idea of considering contraceptive pills as a medical necessity.']",['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3ecbe81f0>,27.37188281042619,50.996930420191276,"<BOS_TOKEN><|START_OF_TURN_TOKEN|><|USER_TOKEN|>Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.
توصلت لهيدا الاستنتاج بسبب التعليقات الإيجابية والتشجيعات الكتيرة اللي بعتلها ياها رجال ونسوان شجعوها على اعتبار أدوية منع الحمل ضرورة طبية.
Translation:<|END_OF_TURN_TOKEN|><|START_OF_TURN_TOKEN|><|CHATBOT_TOKEN|>","[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nتوصلت لهيدا الاستنتاج بسبب التعليقات الإيجابية والتشجيعات الكتيرة اللي بعتلها ياها رجال ونسوان شجعوها على اعتبار أدوية منع الحمل ضرورة طبية.\nTranslation:'}]}]",False,,0,0,0,0,0,en,False,None,None,None
