estimator,completion,generations,finish_reasons,turns,response_spBLEU,response_chrF,_raw_turns,from_cache,chat_preamble,dialectid_score,dialectid_prob,dialectness,macro_prob,macro_score,desired_output_dialect,too_few_tokens,error,tool_calls,tool_results
Blobheart:command-r,هل توجد مضيفات يتحدثن اليابانية ؟,['هل هناك مضيفات يتكلمن اللغة اليابانية؟'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3d803b8b0>,27.379285619165262,43.155899294755606,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Algerian Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nكاين مضيفات يهدرو اللغة اليابانية؟\nTranslation:'}]}]",True,,0,0,0,0,0,ar,False,None,None,None
Blobheart:command-r,قهوة مع القشدة والسكر ، من فضلك .,['كوب من القهوة بالكريمة والسكر، من فضلك.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3f2988430>,12.874330508144842,53.36856727365623,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Algerian Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nقهوة بالكريمة و السكر، من فضلك.\nTranslation:'}]}]",True,,0,0,0,0,0,ar,False,None,None,None
Blobheart:command-r,هل هناك مضيفات يتحدثن اليابانية ؟,['هل هناك مضيفة تتحدث اللغة اليابانية؟'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3c078d460>,21.42348888333948,54.730565597410695,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Algerian Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nكاين مضيفة تهدر اللغة اليابانية؟\nTranslation:'}]}]",True,,0,0,0,0,0,ar,False,None,None,None
Blobheart:command-r,فقدت بطاقة المطالبة .,['ضاعت بطاقة استلامي.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3e8548520>,11.044795567078939,30.44698941212322,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Algerian Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nضاعلي بطاقة الاستلام ديالي.\nTranslation:'}]}]",True,,0,0,0,0,0,ar,False,None,None,None
Blobheart:command-r,دعنا نجتمع لنبحث الأمر أكثر .,['نجحنا في تعميق السؤال.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3f29cae20>,4.767707020457095,10.382164506300624,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Algerian Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nننجحوا في تعميق السؤال.\nTranslation:'}]}]",True,,0,0,0,0,0,ar,False,None,None,None
Blobheart:command-r,أريد أن أرى الميناء .,['أريد أن أرى الميناء.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3f29cab20>,80.91067115702207,100.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Algerian Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nراني حاب نشوف الميناء.\nTranslation:'}]}]",True,,0,0,0,0,0,ar,False,None,None,None
Blobheart:command-r,أين أقرب صيدلية ؟,['أين تقع الصيدلية الأقرب من هنا؟'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3f29ca340>,8.054496384843702,34.615121606536334,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Algerian Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nوين راهي الصيدلية القريبة من هنا؟\nTranslation:'}]}]",True,,0,0,0,0,0,ar,False,None,None,None
Blobheart:command-r,أظن أنه بديع المنظر .,['نعتقد أنه رائع.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3f29caf10>,7.16047614494885,14.67927447597621,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Algerian Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nنظن بلي رائع.\nTranslation:'}]}]",True,,0,0,0,0,0,ar,False,None,None,None
Blobheart:command-r,ماذا سيعرض في قاعة الحفلات الموسيقية اليوم ؟,['ماذا يحدث في قاعة الحفل اليوم؟'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3f29ca970>,24.925978674400294,40.59844138365038,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Algerian Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nواش راهو يصرا في صالة الحفلة اليوم؟\nTranslation:'}]}]",True,,0,0,0,0,0,ar,False,None,None,None
Blobheart:command-r,خذني إلى المستشفى .,['خُذني إلى المُستشفى.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3c07d3220>,9.287528999566801,59.50017765169678,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Algerian Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nاديني للمستشفى.\nTranslation:'}]}]",True,,0,0,0,0,0,ar,False,None,None,None
