estimator,completion,generations,finish_reasons,turns,response_spBLEU,response_chrF,dialectid_score,dialectid_prob,dialectness,macro_prob,macro_score,_raw_turns,from_cache,chat_preamble,documents,desired_output_dialect,too_few_tokens,error,error_traceback
Blobheart:command-r,فيه أى مضيفة بتتكلم ياباني؟,['هل هناك أي مضيفات جويّات يتكلمن اليابانيّة؟'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e3eef40>,4.814971807094068,23.928172626104356,1.6182084940673854e-05,0.0019442691700533032,0.00832296535372734,0.10577751987148076,0.0008803826330935397,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nAre there any stewardesses who speak Japanese?\nTranslation:'}]}]",True,,(),egy,False,None,None
Blobheart:command-r,قهوة بالكريمة والسكر، من فضلك.,['قهوة مع حليب وسكر، من فضلك.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e332820>,40.35278637463991,48.516909437526294,0.015626132174389795,0.04403477907180786,0.3548588752746582,0.16766013950109482,0.0594956885317508,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nCoffee with cream and sugar, please.\nTranslation:'}]}]",True,,(),egy,False,None,None
Blobheart:command-r,فيه اى مضيفة بتتكلم ياباني؟,['هل هناك أي مضيفة طيران تتكلم اليابانية؟'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e332610>,6.837203339116283,31.507178358133785,0.0,0.00169107667170465,0.0,0.7962751721497625,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nIs there any stewardess who speaks Japanese?\nTranslation:'}]}]",True,,(),egy,False,None,None
Blobheart:command-r,ضيعت ورقة الاستلام بتاعتي.,['ضاعت بطاقة المطالبة الخاصة بي.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e332fa0>,4.515183688171633,16.01142669780143,0.0,0.0008206811035051942,0.0,0.004483168828301132,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nI lost my claim tag.\nTranslation:'}]}]",True,,(),egy,False,None,None
Blobheart:command-r,خلينا نكون سوا عشان نناقش ده اكتر .,['نتجمع مع بعض عشان نناقش الموضوع ده أكتر.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e332a30>,28.917849332325716,33.93044795680641,0.7948788802717388,0.9870591163635254,0.8053001761436462,0.9875360515434295,0.7952629562561246,"[{'role': 'User', 'content': [{'type': 'text', 'text': ""Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nLet's get together to discuss this further.\nTranslation:""}]}]",True,,(),egy,False,None,None
Blobheart:command-r,عاوز أشوف المينا.,['عايز أشوف الميناء.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e2e4e80>,22.089591134157878,59.33761706470852,0.7723617694891161,0.9917908906936646,0.7787546515464783,0.9926029206253588,0.772994141575618,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nI want to see the harbor.\nTranslation:'}]}]",True,,(),egy,False,None,None
Blobheart:command-r,فين أقرب صيدلية؟,['فين أقرب صيدلية؟'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e2e4df0>,100.00000000000004,100.0,0.7386903770404984,0.9362541437149048,0.7889848947525024,0.9388008008245379,0.740699651032113,"[{'role': 'User', 'content': [{'type': 'text', 'text': ""Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nWhere's the nearest chemist?\nTranslation:""}]}]",True,,(),egy,False,None,None
Blobheart:command-r,متهيألي ان المنظر خلاب .,['أظنّه خلّاب.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e2e4a00>,5.08764122072739,11.853902280246595,0.000756525555885755,0.0024620627518743277,0.3072730600833893,0.20173423341475427,0.06198749522492827,"[{'role': 'User', 'content': [{'type': 'text', 'text': ""Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nI think it's scenic.\nTranslation:""}]}]",True,,(),egy,False,None,None
Blobheart:command-r,ايه اللي حيتعزف في قاعة الحفلات الموسيقية النهاردة؟,['إيه اللي بيتعرض في قاعة الحفلات النهارده؟'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e2e49d0>,25.0466778302119,49.68790206257434,0.8772551819524068,0.9888501763343811,0.8871467113494873,0.9898129248176701,0.8781092811032134,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nWhat is playing at the concert hall today?\nTranslation:'}]}]",True,,(),egy,False,None,None
Blobheart:command-r,خدني للمستشفى.,['ودّيني للمستشفى.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e2e46a0>,41.11336169005198,73.64982526400674,0.00202628120559481,0.009663743898272514,0.20967869460582733,0.0234953835606575,0.00492648135426188,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nTake me to the hospital.\nTranslation:'}]}]",True,,(),egy,False,None,None
