estimator,completion,generations,finish_reasons,turns,response_spBLEU,response_chrF,dialectid_score,dialectid_prob,dialectness,macro_prob,macro_score,_raw_turns,from_cache,chat_preamble,documents,desired_output_dialect,too_few_tokens,error,error_traceback
Blobheart:command-r,في شي مضيفات بيحكوا ياباني؟,['هل هناك أي مضيفات جويّة يتكلمن اليابانيّة؟'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e2a3400>,9.917720727091444,30.547897370679188,0.0,0.0014910480240359902,0.0,0.0058617101749405265,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nAre there any stewardesses who speak Japanese?\nTranslation:'}]}]",True,,(),syr,False,None,None
Blobheart:command-r,قهوة مع كريما وسكر، لو سمحت.,['قهوة مع كريمة وسكر، من فضلك.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e1f1160>,32.03558799120807,46.6452672359423,0.0002630258603561024,0.0009403792791999876,0.2797018885612488,0.016719538311008364,0.004676486441461191,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nCoffee with cream and sugar, please.\nTranslation:'}]}]",True,,(),syr,False,None,None
Blobheart:command-r,في شي مضيفة بتحكي ياباني؟,['هل هناك أي مضيفة طيران تتكلم اليابانية؟'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e17bdf0>,6.837203339116283,28.742552272492155,0.0,0.0003427086630836129,0.0,0.003024454286787659,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nIs there any stewardess who speaks Japanese?\nTranslation:'}]}]",True,,(),syr,False,None,None
Blobheart:command-r,ضيعت بطاقة الاستلام تبعي.,['ضاعَتْ تَذْكِرَةُ ادّعائي.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e17bd00>,2.5197593442434796,9.355672649242758,0.0007472221462940659,0.18145474791526794,0.00411795312538743,0.4898228272795677,0.0020170674424820033,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nI lost my claim tag.\nTranslation:'}]}]",True,,(),syr,False,None,None
Blobheart:command-r,خلينا نلتقي لناقش هالموضوع بشكل أوسع.,['لنلتقي معاً لنناقش هذا الأمر بمزيد من التفصيل.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e17b6a0>,5.10809933294318,20.19682192493197,0.0,0.002549248281866312,0.0,0.010745159874204546,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': ""Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nLet's get together to discuss this further.\nTranslation:""}]}]",True,,(),syr,False,None,None
Blobheart:command-r,بدي شوف الميناء.,['أريد أن أرى الميناء.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e17ba00>,41.11336169005198,44.82602955575607,0.0,0.0007800697931088507,0.0,0.003682076698169112,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nI want to see the harbor.\nTranslation:'}]}]",True,,(),syr,False,None,None
Blobheart:command-r,وين أقرب صيدلي؟,['أين أقرب صيدلية؟'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e17ba90>,43.47208719449914,64.28979972367493,3.7373449648180448e-06,0.0003931276442017406,0.00950669590383768,0.0011186731571797282,1.0634885521093688e-05,"[{'role': 'User', 'content': [{'type': 'text', 'text': ""Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nWhere's the nearest chemist?\nTranslation:""}]}]",True,,(),syr,False,None,None
Blobheart:command-r,شايفه كتير حلو.,['أظنّه خلّاب.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e17b280>,6.567274736060395,7.261365615746386,0.001014657495992187,0.003302136203274131,0.3072730600833893,0.00934884714661166,0.0028726488709912273,"[{'role': 'User', 'content': [{'type': 'text', 'text': ""Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nI think it's scenic.\nTranslation:""}]}]",True,,(),syr,False,None,None
Blobheart:command-r,شو رح ينعزف بقاعة الحفلات الموسيقية اليوم؟,['ماذا يعزف في قاعة الحفلات الموسيقية اليوم؟'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e17be50>,58.83398368397459,64.54812295152665,0.0,0.00066497887019068,0.0,0.00486130325589329,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nWhat is playing at the concert hall today?\nTranslation:'}]}]",True,,(),syr,False,None,None
Blobheart:command-r,خدني عالمستشفى.,['خُذني إلى المُستشفى.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e17b0a0>,16.784459625186194,32.94445729419359,4.3667876181260196e-05,0.0004618740640580654,0.09454498440027237,0.0033767605491448194,0.0003192557734423521,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nTake me to the hospital.\nTranslation:'}]}]",True,,(),syr,False,None,None
Blobheart:command-r,لا، مو مشكلة. أنت هون، على كل حال.,['آه، إنه لا شيء. أنت هنا على أي حال.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e17b130>,11.016798394984653,26.63824556933897,3.6923227595505714e-05,0.0016484309453517199,0.022399013862013817,0.02552761265542358,0.0005717933497329521,"[{'role': 'User', 'content': [{'type': 'text', 'text': ""Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nOh, it's nothing. You're here, anyway.\nTranslation:""}]}]",True,,(),syr,False,None,None
