estimator,completion,generations,finish_reasons,turns,response_spBLEU,response_chrF,dialectid_score,dialectid_prob,dialectness,macro_prob,macro_score,_raw_turns,from_cache,chat_preamble,documents,desired_output_dialect,too_few_tokens,error,error_traceback
Blobheart:command-r,فيه مضيفات يتكلمون ياباني؟,['هل هناك أي مضيفات جويّات يتكلمن اليابانيّة؟'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e2c3c70>,14.400124446705304,39.67316639408734,0.00017647871842720042,0.02120382711291313,0.00832296535372734,0.6606909439433366,0.005498907835961803,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Saudi Arabic. Output only the translation, do NOT output anything else before nor after it.\nAre there any stewardesses who speak Japanese?\nTranslation:'}]}]",True,,(),sau,False,None,None
Blobheart:command-r,قهوة بالكريمة و السكر، لو سمحت.,['قهوة مع كريمة وسكر، من فضلك.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e296910>,11.731175160263996,27.450121063834736,0.0034865726511073003,0.01246531680226326,0.2797018885612488,0.29034267039969563,0.08120939324071105,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Saudi Arabic. Output only the translation, do NOT output anything else before nor after it.\nCoffee with cream and sugar, please.\nTranslation:'}]}]",True,,(),sau,False,None,None
Blobheart:command-r,فيه مضيفة تتكلم ياباني؟,['هل هناك أي مضيفة طيران تتكلم اليابانية؟'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e2968b0>,9.238430210261097,37.40525887962661,0.0,0.004433533176779747,0.0,0.18527986959088594,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Saudi Arabic. Output only the translation, do NOT output anything else before nor after it.\nIs there any stewardess who speaks Japanese?\nTranslation:'}]}]",True,,(),sau,False,None,None
Blobheart:command-r,ضيعت علامة الاستلام.,['فقدتُ تَعْرِيضَ الادِّعاءِ الخاصَّ بي.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e2965b0>,2.159701133933343,12.421805740777538,9.599477300878227e-05,0.003783696098253131,0.025370635092258453,0.9848940232768655,0.024987386869103657,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Saudi Arabic. Output only the translation, do NOT output anything else before nor after it.\nI lost my claim tag.\nTranslation:'}]}]",True,,(),sau,False,None,None
Blobheart:command-r,خلنا نجتمع عشان نناقش هذا اكثر.,['لنلتقي معاً لنناقش هذا الأمر بمزيد من التفصيل.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e296c10>,8.59076483566362,27.564767623264913,0.0,0.41404280066490173,0.0,0.9333294243551791,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': ""Translate from English into Saudi Arabic. Output only the translation, do NOT output anything else before nor after it.\nLet's get together to discuss this further.\nTranslation:""}]}]",True,,(),sau,False,None,None
Blobheart:command-r,ابغى اشوف الميناء.,['أريد أن أرى الميناء.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e296280>,35.64026463354184,40.887910818560925,0.0,0.01744789630174637,0.0,0.9827406869153492,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Saudi Arabic. Output only the translation, do NOT output anything else before nor after it.\nI want to see the harbor.\nTranslation:'}]}]",True,,(),sau,False,None,None
Blobheart:command-r,وين اقرب صيدلي؟,['أين أقرب صيدلية؟'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e2961f0>,26.269098944241588,41.446649676583036,1.7557231382891113e-05,0.0018468279158696532,0.00950669590383768,0.009882139180263039,9.39464920661605e-05,"[{'role': 'User', 'content': [{'type': 'text', 'text': ""Translate from English into Saudi Arabic. Output only the translation, do NOT output anything else before nor after it.\nWhere's the nearest chemist?\nTranslation:""}]}]",True,,(),sau,False,None,None
Blobheart:command-r,اعتقد انه مسرحي.,['أظنّه خلّاب.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e296eb0>,6.567274736060395,7.021328557473136,0.07365671007766039,0.23971092700958252,0.3072730600833893,0.7502912890631706,0.2305443003443512,"[{'role': 'User', 'content': [{'type': 'text', 'text': ""Translate from English into Saudi Arabic. Output only the translation, do NOT output anything else before nor after it.\nI think it's scenic.\nTranslation:""}]}]",True,,(),sau,False,None,None
Blobheart:command-r,وش ينعزف اليوم في قاعة الاحتفالات؟,['ماذا يعزف في قاعة الحفلات الموسيقية اليوم؟'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e296e20>,12.451643194233869,35.813047849384105,0.0,0.04666333273053169,0.0,0.9522611062275246,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Saudi Arabic. Output only the translation, do NOT output anything else before nor after it.\nWhat is playing at the concert hall today?\nTranslation:'}]}]",True,,(),sau,False,None,None
Blobheart:command-r,خذني للمستشفى.,['خُذني إلى المُستشفى.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e296ee0>,16.784459625186194,35.727797314174694,0.002180693874319045,0.023065146058797836,0.09454498440027237,0.9863150281598791,0.09325113895112998,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Saudi Arabic. Output only the translation, do NOT output anything else before nor after it.\nTake me to the hospital.\nTranslation:'}]}]",True,,(),sau,False,None,None
