prompt,location,phrasing,language,source
"Reply in Palestinian Arabic. Explain a common misconception about your topic.
Topic: Using AI to Augment Human Capabilities",Start,reply in {language_requested},ar,okapi
"Explain a common misconception about your topic in Palestinian Arabic.
Topic: Using AI to Augment Human Capabilities",Middle,in {language_requested},ar,okapi
"Explain a common misconception about your topic.
Topic: Using AI to Augment Human Capabilities. Write in Palestinian Arabic.",End,write in {language_requested},ar,okapi
Write in Palestinian Arabic. Explain how the Gini index is calculated.,Start,write in {language_requested},ar,okapi
Explain in Palestinian Arabic how the Gini index is calculated.,Middle,in {language_requested},ar,okapi
Explain how the Gini index is calculated. Respond in Palestinian Arabic.,End,respond in {language_requested},ar,okapi
Answer in Palestinian Arabic. Write four articles on the topic of cryptocurrency with a minimum of 300 words each.,Start,answer in {language_requested},ar,okapi
Write four articles in Palestinian Arabic on the topic of cryptocurrency with a minimum of 300 words each.,Middle,in {language_requested},ar,okapi
Write four articles on the topic of cryptocurrency with a minimum of 300 words each. Answer in Palestinian Arabic.,End,answer in {language_requested},ar,okapi
Answer in Palestinian Arabic. Generate an essay of at least 500 words that argues in favor of regulating artificial intelligence.,Start,answer in {language_requested},ar,okapi
Generate an essay in Palestinian Arabic of at least 500 words that argues in favor of regulating artificial intelligence.,Middle,in {language_requested},ar,okapi
Generate an essay of at least 500 words that argues in favor of regulating artificial intelligence. Reply in Palestinian Arabic.,End,reply in {language_requested},ar,okapi
Reply in Palestinian Arabic. Write an 1850-word horror story.,Start,reply in {language_requested},ar,okapi
Write an 1850-word horror story in Palestinian Arabic.,Middle,in {language_requested},ar,okapi
Write an 1850-word horror story. Write in Palestinian Arabic.,End,write in {language_requested},ar,okapi
"Respond in Palestinian Arabic. Write a 500 word report summarizing the article: ""The Impact of Brexit on the United Kingdom"".",Start,respond in {language_requested},ar,okapi
"Write a 500 word report summarizing the article in Palestinian Arabic: ""The Impact of Brexit on the United Kingdom"".",Middle,in {language_requested},ar,okapi
"Write a 500 word report summarizing the article: ""The Impact of Brexit on the United Kingdom"". Respond in Palestinian Arabic.",End,respond in {language_requested},ar,okapi
Answer in Palestinian Arabic. Write a 500 word article about the benefits of organic food.,Start,answer in {language_requested},ar,okapi
Write a 500 word article in Palestinian Arabic about the benefits of organic food.,Middle,in {language_requested},ar,okapi
Write a 500 word article about the benefits of organic food. Write in Palestinian Arabic.,End,write in {language_requested},ar,okapi
Respond in Palestinian Arabic. Write a persuasive essay about why the redistribution of wealth is necessary.,Start,respond in {language_requested},ar,okapi
Write a persuasive essay in Palestinian Arabic about why the redistribution of wealth is necessary.,Middle,in {language_requested},ar,okapi
Write a persuasive essay about why the redistribution of wealth is necessary. Answer in Palestinian Arabic.,End,answer in {language_requested},ar,okapi
Respond in Palestinian Arabic. Generate an argumentative essay about the importance of healthy eating.,Start,respond in {language_requested},ar,okapi
Generate an argumentative essay in Palestinian Arabic about the importance of healthy eating.,Middle,in {language_requested},ar,okapi
