prompt,location,phrasing,language,source
"Reply in Syrian Arabic. Explain a common misconception about your topic.
Topic: Using AI to Augment Human Capabilities",Start,reply in {language_requested},ar,okapi
"Explain a common misconception about your topic in Syrian Arabic.
Topic: Using AI to Augment Human Capabilities",Middle,in {language_requested},ar,okapi
"Explain a common misconception about your topic.
Topic: Using AI to Augment Human Capabilities. Write in Syrian Arabic.",End,write in {language_requested},ar,okapi
Write in Syrian Arabic. Explain how the Gini index is calculated.,Start,write in {language_requested},ar,okapi
Explain in Syrian Arabic how the Gini index is calculated.,Middle,in {language_requested},ar,okapi
Explain how the Gini index is calculated. Respond in Syrian Arabic.,End,respond in {language_requested},ar,okapi
Answer in Syrian Arabic. Write four articles on the topic of cryptocurrency with a minimum of 300 words each.,Start,answer in {language_requested},ar,okapi
Write four articles in Syrian Arabic on the topic of cryptocurrency with a minimum of 300 words each.,Middle,in {language_requested},ar,okapi
Write four articles on the topic of cryptocurrency with a minimum of 300 words each. Answer in Syrian Arabic.,End,answer in {language_requested},ar,okapi
Answer in Syrian Arabic. Generate an essay of at least 500 words that argues in favor of regulating artificial intelligence.,Start,answer in {language_requested},ar,okapi
Generate an essay in Syrian Arabic of at least 500 words that argues in favor of regulating artificial intelligence.,Middle,in {language_requested},ar,okapi
Generate an essay of at least 500 words that argues in favor of regulating artificial intelligence. Reply in Syrian Arabic.,End,reply in {language_requested},ar,okapi
Reply in Syrian Arabic. Write an 1850-word horror story.,Start,reply in {language_requested},ar,okapi
Write an 1850-word horror story in Syrian Arabic.,Middle,in {language_requested},ar,okapi
Write an 1850-word horror story. Write in Syrian Arabic.,End,write in {language_requested},ar,okapi
"Respond in Syrian Arabic. Write a 500 word report summarizing the article: ""The Impact of Brexit on the United Kingdom"".",Start,respond in {language_requested},ar,okapi
"Write a 500 word report summarizing the article in Syrian Arabic: ""The Impact of Brexit on the United Kingdom"".",Middle,in {language_requested},ar,okapi
"Write a 500 word report summarizing the article: ""The Impact of Brexit on the United Kingdom"". Respond in Syrian Arabic.",End,respond in {language_requested},ar,okapi
Answer in Syrian Arabic. Write a 500 word article about the benefits of organic food.,Start,answer in {language_requested},ar,okapi
Write a 500 word article in Syrian Arabic about the benefits of organic food.,Middle,in {language_requested},ar,okapi
Write a 500 word article about the benefits of organic food. Write in Syrian Arabic.,End,write in {language_requested},ar,okapi
Respond in Syrian Arabic. Write a persuasive essay about why the redistribution of wealth is necessary.,Start,respond in {language_requested},ar,okapi
Write a persuasive essay in Syrian Arabic about why the redistribution of wealth is necessary.,Middle,in {language_requested},ar,okapi
Write a persuasive essay about why the redistribution of wealth is necessary. Answer in Syrian Arabic.,End,answer in {language_requested},ar,okapi
Respond in Syrian Arabic. Generate an argumentative essay about the importance of healthy eating.,Start,respond in {language_requested},ar,okapi
Generate an argumentative essay in Syrian Arabic about the importance of healthy eating.,Middle,in {language_requested},ar,okapi
Generate an argumentative essay about the importance of healthy eating. Write in Syrian Arabic.,End,write in {language_requested},ar,okapi
Answer in Syrian Arabic. Write an opinion article on artificial intelligence in 500-700 words.,Start,answer in {language_requested},ar,okapi
Write an opinion article in Syrian Arabic on artificial intelligence in 500-700 words.,Middle,in {language_requested},ar,okapi
Write an opinion article on artificial intelligence in 500-700 words. Use Syrian Arabic.,End,use {language_requested},ar,okapi
Use Syrian Arabic. Generate a creative story which is at least 500 words long.,Start,use {language_requested},ar,okapi
Generate a creative story in Syrian Arabic which is at least 500 words long.,Middle,in {language_requested},ar,okapi
Generate a creative story which is at least 500 words long. Write in Syrian Arabic.,End,write in {language_requested},ar,okapi
Respond in Syrian Arabic. Generate an essay discussing the importance of recycling.,Start,respond in {language_requested},ar,okapi
Generate an essay in Syrian Arabic discussing the importance of recycling.,Middle,in {language_requested},ar,okapi
Generate an essay discussing the importance of recycling. Write in Syrian Arabic.,End,write in {language_requested},ar,okapi
Write in Syrian Arabic. Write a 250-word article summarizing the changes brought about by Brexit.,Start,write in {language_requested},ar,okapi
Write a 250-word article in Syrian Arabic summarizing the changes brought about by Brexit.,Middle,in {language_requested},ar,okapi
Write a 250-word article summarizing the changes brought about by Brexit. Write in Syrian Arabic.,End,write in {language_requested},ar,okapi
