,prompt,language,source
0,"عاود اكتب هاد الفراز باش تكون بلو ابروبري: ""هز الشبة و الحرمل""",Algerian Arabic,HABIBI
1,"""ما نديرك بعيدة ما نبكي عليك"" كما هاد الباساج حكاية",Algerian Arabic,HABIBI
2,"اكتب ريبونس تكون فيهاهاد الفراز هي الصح: ""رجعت غمة في فؤادي""",Algerian Arabic,HABIBI
3,"ريبوندي علا هاد سوجي: ""لا بعدوك علي لجبال غارقة""",Algerian Arabic,HABIBI
4,"""ارضي و ارض جدادي"" واش من لديونس يوالمها هاد النوع تاع لي فراز. بروفي لا ريبونس تاعك",Algerian Arabic,HABIBI
5,"""يانا محر علي و انتيا لا"" اكتب ريبونس تكون فيهاهاد الفراز هي الصح",Algerian Arabic,HABIBI
6,"""وصي تاني على الناس"" خرج كيستيون تاع اكزامان من هاد الفراز",Algerian Arabic,HABIBI
7,"""ناس عذوك لايام اذا راك شافي"" واش من لديونس يوالمها هاد النوع تاع لي فراز. بروفي لا ريبونس تاعك",Algerian Arabic,HABIBI
8,"واش هوما لي امبليكاسيون تاع هادي لوكان قالهالك كاش واحد: ""دعوتي القليله يانا ذيك المبلية""",Algerian Arabic,HABIBI
9,"""اااه سيدي عبد الرحمن تدير مجهودك و تحسن"" كما هاد الباساج حكاية",Algerian Arabic,HABIBI
10,"واش هوما لي امبليكاسيون تاع هادي لوكان قالهالك كاش واحد: ""وصي اللي يتهولوا في بلادي""",Algerian Arabic,HABIBI
11,"قول ""ادي ادي، ادي ادي، ادي ادي، ادي ادي الزين ادي واه"" بكلمات وحدوخرين، و غاردي نفس المعنى",Algerian Arabic,HABIBI
12,"عاود اكتب ""وعدي على الطحطاحة وعدي"" باش تكون بلو ابروبري",Algerian Arabic,HABIBI
13,"عاود اكتب هاد الفراز باش تكون بلو ابروبري: ""ادي ادي واه، ادي ادي، ادي ادي ادي هالزين ادي ايييه""",Algerian Arabic,HABIBI
