,prompt,language,source
0,"وش آثار هذا اذا احد قاله لك؟: ""مارواها الدمع في غيابك بخيل""",Saudi Arabic,HABIBI
1,"اكتب رد ابداعي يتضمن هالجملة كعنصر أساسي: ""واقبل اعذارك واسامح لو خطيـــت""",Saudi Arabic,HABIBI
2,"""كيف تجرحني و أنا بـ الحيل أبيك"" كمل كتابة هالفقرة عشان تصير قصة",Saudi Arabic,HABIBI
3,"""اعشقك اليوم امس وباكر"" اكتب سؤال ممكن ينحط في اختبار، على شكل قطعة نصية بناءً على هالجملة",Saudi Arabic,HABIBI
4,"وش آثار ""جيتك حزين وغايته تاخذينه"" اذا احد قاله لك؟",Saudi Arabic,HABIBI
5,"""انت منهم وش عليك .. وانا منهم وش عليا"" رد على هالنقاش",Saudi Arabic,HABIBI
6,"""ضيعوا من عمرهم احلى السنين"" اعد كتابة هذا باسلوبك الخاص، لكن مع انك تحافظ على المعنى الأساسي",Saudi Arabic,HABIBI
7,"اعد كتابة هذا باسلوبك الخاص، لكن مع انك تحافظ على المعنى الأساسي: ""كيف ابسلا حبيبي ميتاً في غرامه .. كل ماجابه الطاري علي هزيعه""",Saudi Arabic,HABIBI
8,"اكتب سؤال ممكن ينحط في اختبار، على شكل قطعة نصية بناءً على ""انا معك لاخر دقيقة بمماتك""",Saudi Arabic,HABIBI
9,"رد على هالنقاش: ""لا تغلّى شفني مشتاق أحتريك""",Saudi Arabic,HABIBI
10,"اكتب سؤال ممكن ينحط في اختبار، على شكل قطعة نصية بناءً على هالجملة: ""لو اقول انك حياتي ما وفيـــــــــــت""",Saudi Arabic,HABIBI
11,"رد على هالنقاش لكن ابدأ بـ ""انحرم من كل شي الا انت""",Saudi Arabic,HABIBI
12,"اعد كتابة ""دايم بحبك تكابر وانا ياما كنت صابر"" عشان تصير مناسبة اكثر لجمهور عام",Saudi Arabic,HABIBI
13,"""وتعرض فرحه يافرحة كل ضايق"" اكتب سؤال ممكن ينحط في اختبار، على شكل قطعة نصية بناءً على هالجملة",Saudi Arabic,HABIBI
14,"""حالي بقلبي من محانيه منزوع"" وشي الشريحة اللي جملة مثل هذي تكون موجهة لها؟ فسر اجابتك",Saudi Arabic,HABIBI
15,"""انت في بالي واحبك من زمــــــــان"" وشي الشريحة اللي جملة مثل هذي تكون موجهة لها؟ فسر اجابتك",Saudi Arabic,HABIBI
16,"اكتب سؤال ممكن ينحط في اختبار، على شكل قطعة نصية بناءً على ""مدامه قدامي أنا وشوق بخير""",Saudi Arabic,HABIBI
17,"""ما اتمنى غير شوفك مبتسم مرتاح بالـــــــــك"" رد على هالنقاش",Saudi Arabic,HABIBI
18,"اعد كتابة ""وان كان ع الذكرى تطمن باخذ جروحي معايا"" عشان تصير مناسبة اكثر لجمهور عام",Saudi Arabic,HABIBI
19,"""ما هو أنت اللي تكلّمني كذا"" وش آثار هذا اذا احد قاله لك؟",Saudi Arabic,HABIBI
20,"اعد كتابة ""ودام هذي هي النهاية اجمع شتات البداية"" باسلوبك الخاص، لكن مع انك تحافظ على المعنى الأساسي",Saudi Arabic,HABIBI
21,"اكتب سؤال ممكن ينحط في اختبار، على شكل قطعة نصية بناءً على ""مديت في هجرك كفى والله كفى""",Saudi Arabic,HABIBI
22,"""الهوا وشهو الهوا من دونك"" رد على هالنقاش",Saudi Arabic,HABIBI
23,"""من يلوم القلب لا اصبح اسير"" اكتب قصة تبدأ بهالجملة",Saudi Arabic,HABIBI
24,"رد على هالنقاش لكن ابدأ بـ ""والحب ما يفارق ليله من ليالينا""",Saudi Arabic,HABIBI
25,"""ذبل لسان البسمه وهمسات الحنان"" اعد كتابة هالجملة عشان تصير مناسبة اكثر لجمهور عام",Saudi Arabic,HABIBI
26,"""يا مغادرا بلادك رافقتك السلامه .. لوفراقك على روحاً تودك فجيعه"" اكتب قصة تبدأ بهالجملة",Saudi Arabic,HABIBI
27,"رد على هالنقاش لكن ابدأ بـ ""انت من يقدر يخيب فيك ظنــــــــي""",Saudi Arabic,HABIBI
28,"اعد كتابة ""الف آهلا .. والف سهلا"" عشان تصير مناسبة اكثر لجمهور عام",Saudi Arabic,HABIBI
29,"اعد كتابة ""صدق احساسك وقلبك ، انا من قلبي هويتــك"" باسلوبك الخاص، لكن مع انك تحافظ على المعنى الأساسي",Saudi Arabic,HABIBI
30,"رد على هالنقاش لكن ابدأ بـ ""انت عارف وش مصيرك وانا اعرف وش مصيري""",Saudi Arabic,HABIBI
31,"اكتب سؤال ممكن ينحط في اختبار، على شكل قطعة نصية بناءً على هالجملة: ""يسأل نجوم الظهر منك""",Saudi Arabic,HABIBI
32,"رد على هالنقاش: ""ماعرف في الحب حبك""",Saudi Arabic,HABIBI
33,"اكتب سؤال ممكن ينحط في اختبار، على شكل قطعة نصية بناءً على هالجملة: ""شوفتك عندي لها قدرٍ وشـــــــــان""",Saudi Arabic,HABIBI
34,"""حتى الذي اهواه من قلبي"" اعد كتابة هذا باسلوبك الخاص، لكن مع انك تحافظ على المعنى الأساسي",Saudi Arabic,HABIBI
35,"""سهرتنا الليلة خلوها صباحي"" اعد كتابة هالجملة عشان تصير مناسبة اكثر لجمهور عام",Saudi Arabic,HABIBI
36,"""انا متعلق مصيري .. يا حبيبي في مصيرك"" اعد كتابة هذا باسلوبك الخاص، لكن مع انك تحافظ على المعنى الأساسي",Saudi Arabic,HABIBI
37,"اكتب سؤال ممكن ينحط في اختبار، على شكل قطعة نصية بناءً على ""في كلامك ما تسبّب لي أذى""",Saudi Arabic,HABIBI
38,"اعد كتابة ""قلبي فداك قلي وش اغلى من القلب"" باسلوبك الخاص، لكن مع انك تحافظ على المعنى الأساسي",Saudi Arabic,HABIBI
39,"اعد كتابة هالجملة عشان تصير مناسبة اكثر لجمهور عام: ""ويلي ويلي حبيبي طار طيرك طار طيرك""",Saudi Arabic,HABIBI
40,"""كيف انا اضيع حبيبي من يدينــــــي"" اكتب رد ابداعي يتضمن هالجملة كعنصر أساسي",Saudi Arabic,HABIBI
41,"اعد كتابة ""يا آيه في العطا يابو العطا يابو الوفا"" عشان تصير مناسبة اكثر لجمهور عام",Saudi Arabic,HABIBI
42,"اكتب رد ابداعي يتضمن ""مدي يدينك واطلبي اللي تبينه"" كعنصر أساسي",Saudi Arabic,HABIBI
43,"اكتب سؤال ممكن ينحط في اختبار، على شكل قطعة نصية بناءً على هالجملة: ""ما عشق ياعيوني قلبك""",Saudi Arabic,HABIBI
44,"""من يقول ان الهوى دايم جراح"" اعد كتابة هالجملة عشان تصير مناسبة اكثر لجمهور عام",Saudi Arabic,HABIBI
45,"""ابعدوبه وحظي منه ما ادرك مرامه .. لاشربناغدير ولارعينا ربيعه"" اكتب رد ابداعي يتضمن هالجملة كعنصر أساسي",Saudi Arabic,HABIBI
46,"""ياما قلبي لك عطى و قلبك خذا"" كمل كتابة هالفقرة عشان تصير قصة",Saudi Arabic,HABIBI
47,"""ذاك الاول كنت احبك يا حبيبي طار طيرك"" اكتب سؤال ممكن ينحط في اختبار، على شكل قطعة نصية بناءً على هالجملة",Saudi Arabic,HABIBI
48,"اعد كتابة ""أنا منك يا هوى بالي و فيك"" عشان تصير مناسبة اكثر لجمهور عام",Saudi Arabic,HABIBI
49,"""مرت اسماء ومرت اطياف توارد"" وش آثار هذا اذا احد قاله لك؟",Saudi Arabic,HABIBI
50,"""افهمك حتى في وقت سكوتك"" اعد كتابة هذا باسلوبك الخاص، لكن مع انك تحافظ على المعنى الأساسي",Saudi Arabic,HABIBI
51,"""دامي معك واخر حبيبية بحياتك"" اكتب قصة تبدأ بهالجملة",Saudi Arabic,HABIBI
52,"اكتب رد ابداعي يتضمن هالجملة كعنصر أساسي: ""أضمه بحضاني وأحس حضنه غير""",Saudi Arabic,HABIBI
53,"اكتب رد ابداعي يتضمن هالجملة كعنصر أساسي: ""طاح حبك في هوانا وربي عن حبك غنانا""",Saudi Arabic,HABIBI
54,"""بالعشق صاير مزاجي وانا يمه حيل احتياجي"" كمل كتابة هالفقرة عشان تصير قصة",Saudi Arabic,HABIBI
55,"وش آثار ""انا كل يوم ابي باجر يعوضني غياب امسك"" اذا احد قاله لك؟",Saudi Arabic,HABIBI
56,"وش آثار هذا اذا احد قاله لك؟: ""والف اهلا والف سهلا ..""",Saudi Arabic,HABIBI
