,prompt,language,source
0,"رد على موضوع يبدأ بـ""بلا عين تبكينى""",Palestinian Arabic,HABIBI
1,"عيد صياغة ""لا تطول حبيبي أنا خايف من بكرة"" لتكون مناسبة اكتر  للناس الحاضرين",Palestinian Arabic,HABIBI
2,"اكتب هاي الجملة بطريقتك وحافظ على المعنى الاصلي: ""بلا صراخ وصوت قناص يضحك بقتل ابوى ييتمنى""",Palestinian Arabic,HABIBI
3,"""ولا م الليل يدبحنى"" عيد صياغة هاي الجملة لتكون مناسبة اكتر  للناس الحاضرين",Palestinian Arabic,HABIBI
4,"صيغ رد مبدع  بيضمن هاي الجملة كعنصر أساسي: ""حكاوينا بتشبه بعض لكن لسه""",Palestinian Arabic,HABIBI
5,"""و شوفتك في حضنه بتقولي الكلام اللي قولتي متقالش الا ليك"" شو هي نتائج هاد إذا حدا قلك ياه؟",Palestinian Arabic,HABIBI
6,"""انا عايش غربة ايامي صعبة"" اكتب قصة بتبلش بهاي الجملة",Palestinian Arabic,HABIBI
7,"شو هي نتائج ""ورفقاتى ببكاهم ينادونى"" إذا حدا قلك ياه؟",Palestinian Arabic,HABIBI
8,"""بعدنا خلاص، انا وانت خلاص تايهين ما بين الناس"" صيغ رد مبدع  بيضمن هاي الجملة كعنصر أساسي",Palestinian Arabic,HABIBI
9,"صيغ رد مبدع  بيضمن هاي الجملة كعنصر أساسي: ""بالثواني والساعات عم بنطر حبيبي""",Palestinian Arabic,HABIBI
10,"""مابقتش اخاف م الليل مابقتش اخاف م الليل مابقتش اخاف م الليل"" عيد صياغة هاي الجملة لتكون مناسبة اكتر  للناس الحاضرين",Palestinian Arabic,HABIBI
11,"""عمري لو دايم اخافك تروحي و تنزل دموعي يا عيني"" اكتب هاي الجملة بطريقتك وحافظ على المعنى الاصلي",Palestinian Arabic,HABIBI
12,"صيغ رد مبدع  بيضمن هاي الجملة كعنصر أساسي: ""مبقتش اخاف م الليل مبقتش اخاف من الليل مبقتش اخاف""",Palestinian Arabic,HABIBI
13,"""لا تطول حبيبي أنا خايف من بكرة"" رد على هالموضوع",Palestinian Arabic,HABIBI
14,"""اطفال اصغار وقلب رجال فى نار نفوت .. لا كنا نخاف ع هد بيوت"" شو هي نتائج هاد إذا حدا قلك ياه؟",Palestinian Arabic,HABIBI
15,"صمّم سؤال امتحان بصيغة مقال، بناءً على الجملة: ""العمر بيديق مليت اكون وحيد فراقك بيوجع بيزيد""",Palestinian Arabic,HABIBI
16,"اكتب ""زي اللي كان بيخاف و بقي ابن ليل بيخاف و بقي ابن ليل"" بطريقتك وحافظ على المعنى الاصلي",Palestinian Arabic,HABIBI
17,"كمل هالنص ليصير قصة: ""أنا عايش غربة أيامي صعبة""",Palestinian Arabic,HABIBI
18,"صيغ رد مبدع  بيضمن هاي الجملة كعنصر أساسي: ""قلبي اللي عاش جوة منك مكسور الجناح و ما بيطير""",Palestinian Arabic,HABIBI
19,"صيغ رد مبدع  بيضمن هاي الجملة كعنصر أساسي: ""مفيش غلطان سبب فى البعد""",Palestinian Arabic,HABIBI
20,"اكتب ""مكنتش مصدق بقول ازاي مبقتش هي خلاص مبقتش هي"" بطريقتك وحافظ على المعنى الاصلي",Palestinian Arabic,HABIBI
21,"لأي نوع من الحاضرين مخصصة هاي الجملة؟ ""بدى نهار .. وشمس بلا نار"" اعطيني مبرر",Palestinian Arabic,HABIBI
22,"صمّم سؤال امتحان بصيغة مقال، بناءً على ""ليه نتباهى بمين سايب ومين متساب""",Palestinian Arabic,HABIBI
23,"""لا تطول حبيبي انا خايف من بكرة"" صيغ رد مبدع  بيضمن هاي الجملة كعنصر أساسي",Palestinian Arabic,HABIBI
24,"""ما بدى اروح .. ما بدنا جروح"" صمّم سؤال امتحان بصيغة مقال، بناءً على الجملة",Palestinian Arabic,HABIBI
25,"كمل هالنص ليصير قصة: ""بدى اعيش .. ماخاف الليل""",Palestinian Arabic,HABIBI
26,"""جاوبنا يا ليل وقول الرد"" شو هي نتائج هاد إذا حدا قلك ياه؟",Palestinian Arabic,HABIBI
27,"""ليه بنعلق قلوبنا بناس تملي غياب"" عيد صياغة هاي الجملة لتكون مناسبة اكتر  للناس الحاضرين",Palestinian Arabic,HABIBI
28,"عيد صياغة هاي الجملة لتكون مناسبة اكتر  للناس الحاضرين: ""اراهن بعمري لو حتى كان حبك و ان انتي مكانك كتير""",Palestinian Arabic,HABIBI
29,"اكتب قصة بتبلش بهاي الجملة: ""يمكن سكوتنا عن الكلام كان سببه خوف""",Palestinian Arabic,HABIBI
30,"""بنعيش على ذكرى من الماضي للحاضر"" صيغ رد مبدع  بيضمن هاي الجملة كعنصر أساسي",Palestinian Arabic,HABIBI
31,"صمّم سؤال امتحان بصيغة مقال، بناءً على ""ولسه للدموع باقي ولسه الحكي مش خلصان""",Palestinian Arabic,HABIBI
32,"""بلا اصحاب .. بلا ارض"" اكتب قصة بتبلش بهاي الجملة",Palestinian Arabic,HABIBI
33,"صمّم سؤال امتحان بصيغة مقال، بناءً على ""عشقان سهران ع غيابك حبيبي""",Palestinian Arabic,HABIBI
34,"عيد صياغة هاي الجملة لتكون مناسبة اكتر  للناس الحاضرين: ""غربتي حيلة القلب وبكينا على روحنا""",Palestinian Arabic,HABIBI
35,"""يوم افتح عينى .. بلقانى وحيد"" صيغ رد مبدع  بيضمن هاي الجملة كعنصر أساسي",Palestinian Arabic,HABIBI
36,"شو هي نتائج ""فى غيرنا حاله بيشبهنا"" إذا حدا قلك ياه؟",Palestinian Arabic,HABIBI
37,"صيغ رد مبدع  بيضمن هاي الجملة كعنصر أساسي: ""بالثواني والساعات عم بنطر حبيبي""",Palestinian Arabic,HABIBI
38,"اكتب هاي الجملة بطريقتك وحافظ على المعنى الاصلي: ""ولسه القلب متعلق ما بين مظلوم وبين غلطان""",Palestinian Arabic,HABIBI
39,"""عشقان سهران ع غيابك حبيبي"" شو هي نتائج هاد إذا حدا قلك ياه؟",Palestinian Arabic,HABIBI
40,"صيغ رد مبدع  بيضمن هاي الجملة كعنصر أساسي: ""مش شرط يبقى السكوت رضا""",Palestinian Arabic,HABIBI
41,"اكتب ""خوفتي تخليني ابقي كارهك و عارف يا قلبي انه صعب"" بطريقتك وحافظ على المعنى الاصلي",Palestinian Arabic,HABIBI
42,"صيغ رد مبدع  بيضمن هاي الجملة كعنصر أساسي: ""حكاوينا بتتكرر وتتبدل أسامينا""",Palestinian Arabic,HABIBI
43,"""وليلنا هو هو الليل لوحدينا"" صمّم سؤال امتحان بصيغة مقال، بناءً على الجملة",Palestinian Arabic,HABIBI
44,"صيغ رد مبدع  بيضمن هاي الجملة كعنصر أساسي: ""ده كل الناس فى جرح كبير حتى احنا""",Palestinian Arabic,HABIBI
45,"اكتب قصة بتبلش بهاي الجملة: ""تعبان خيفان ما ترجع حبيبي""",Palestinian Arabic,HABIBI
46,"صيغ رد مبدع  بيضمن هاي الجملة كعنصر أساسي: ""يفضل غنايا طريق للشكوى في جروحنا""",Palestinian Arabic,HABIBI
47,"""ننادى الليل ينادينا"" رد على هالموضوع",Palestinian Arabic,HABIBI
48,"صيغ رد مبدع  بيضمن هاي الجملة كعنصر أساسي: ""اختارتي الطريق مشيتي لبعيد الوقت بيفوت بالبطيء""",Palestinian Arabic,HABIBI
49,"عيد صياغة ""ويجري اليوم فى ضهر اليوم ولسه فى قصة متشاله"" لتكون مناسبة اكتر  للناس الحاضرين",Palestinian Arabic,HABIBI
50,"لأي نوع من الحاضرين مخصصة هاي الجملة؟ ""ولا احنا بنشبه بعض"" اعطيني مبرر",Palestinian Arabic,HABIBI
51,"""غمضت عيني وليه وكاني ما حبيت"" صمّم سؤال امتحان بصيغة مقال، بناءً على الجملة",Palestinian Arabic,HABIBI
52,"صمّم سؤال امتحان بصيغة مقال، بناءً على الجملة: ""تعبان خيفان ما ترجع حبيبي""",Palestinian Arabic,HABIBI
