,prompt,language,source
0,"قاد واحد الجواب  لي فيه هاد الجملة كشيحاجا اساسية: ""انا ليك و انت ليا الدنيا تفرح بنا""",Moroccan Arabic,HABIBI
1,"قاد واحد الجواب  لي فيه هاد الجملة كشيحاجا اساسية: ""مابقاش الحب تسالا كنت معاك بالنية""",Moroccan Arabic,HABIBI
2,"شناهوما الاتار ديال ""كانَ يحسابلي نُدِيركَ ماضِييَ""، الى شي حد قالها ليك؟",Moroccan Arabic,HABIBI
3,"""مغربية الأصل طيبة وجمال وذوق"" اش من جمهور هادا نوع من الجملة لي هدشي موجه ليه؟ برر جواب ديالك",Moroccan Arabic,HABIBI
4,"عاود صياغة ""وفعيون والديك مهدية ومرضية"" بالكلمات دياولك، محافظ على المفهوم الاساسي",Moroccan Arabic,HABIBI
5,"""خدعتني لعبت بقلبي بعد لبعيد وخليني"" قاد واحد الجواب  لي فيه هاد الجملة كشيحاجا اساسية",Moroccan Arabic,HABIBI
6,"""مولاي السلطان يا مرضي الوالدين"" اش من جمهور هادا نوع من الجملة لي هدشي موجه ليه؟ برر جواب ديالك",Moroccan Arabic,HABIBI
7,"عاود صياغة هدشي بالكلمات دياولك، محافظ على المفهوم الاساسي: ""محلى سهريات بلادى القصبه والجلال يصادى""",Moroccan Arabic,HABIBI
8,"""عندو الزين عنده الحمام دايرو في دارو"" قاد سؤال لي يقدر يكون فالمتحان، وديرو على طريقة مقالة، وبني على هاد الجملة",Moroccan Arabic,HABIBI
9,"""كان يحسابلي غاديا ننساك وبالزربه"" كتب قصة لي كتبدا بهاد السطر",Moroccan Arabic,HABIBI
10,"عاود كتب هاد الجملة باش تكون مناسبة اكتر لجمهور كامل: ""حبك كان مهزلة لا ما بقاش يدوز عليا""",Moroccan Arabic,HABIBI
11,"قاد سؤال لي يقدر يكون فالمتحان، وديرو على طريقة مقالة، وبني على هاد الجملة: ""مغربية وأفتخر مغربية وأعلي راسي لفوق""",Moroccan Arabic,HABIBI
12,"قاد سؤال لي يقدر يكون فالمتحان، وديرو على طريقة مقالة، وبني على هاد الجملة: ""نقطع البحر ونجيك ولي ليا""",Moroccan Arabic,HABIBI
13,"قاد سؤال لي يقدر يكون فالمتحان، وديرو على طريقة مقالة، وبني على هاد الجملة: ""واليوم حداك عمر جديد وعد مني والله عمري ماننساك""",Moroccan Arabic,HABIBI
14,"""زَيْن وَ هَمَّهُ وَ عُقُل صافِي ساليتي مِعاهُم"" جاوب علي هاد الموضوع",Moroccan Arabic,HABIBI
15,"كمل هاد المقطع ورجعو قصة: ""نورمال ماتجيني نورمال، سير و خليني نورمال""",Moroccan Arabic,HABIBI
16,"""وقتاش نكون حداك ولي ليا"" شناهوما الاتار ديال هادي، الى شي حد قالها ليك؟",Moroccan Arabic,HABIBI
17,"""من جرحك غانبرا، وننسا كاع لحكاية"" عاود كتب هاد الجملة باش تكون مناسبة اكتر لجمهور كامل",Moroccan Arabic,HABIBI
18,"""عشقي ليك هبال راك ديما فالبال"" جاوب علي هاد الموضوع",Moroccan Arabic,HABIBI
19,"شناهوما الاتار ديال ""ونعيش عادي بحالا ماكنتيش""، الى شي حد قالها ليك؟",Moroccan Arabic,HABIBI
20,"شناهوما الاتار ديال هادي، الى شي حد قالها ليك؟: ""وقتاش نكون حداك ولي ليا""",Moroccan Arabic,HABIBI
21,"عاود صياغة هدشي بالكلمات دياولك، محافظ على المفهوم الاساسي: ""العروسة وعريسها في عار الله""",Moroccan Arabic,HABIBI
22,"عاود صياغة هدشي بالكلمات دياولك، محافظ على المفهوم الاساسي: ""مغربية وأفتخر مغربية""",Moroccan Arabic,HABIBI
23,"""عروستنا فنة مادة يديها للحنة"" قاد واحد الجواب  لي فيه هاد الجملة كشيحاجا اساسية",Moroccan Arabic,HABIBI
24,"""كان يحسابلي نديرك ماضي"" اش من جمهور هادا نوع من الجملة لي هدشي موجه ليه؟ برر جواب ديالك",Moroccan Arabic,HABIBI
25,"""عروستنا فنة مادة يديها للحنة"" قاد واحد الجواب  لي فيه هاد الجملة كشيحاجا اساسية",Moroccan Arabic,HABIBI
26,"""قعدوا فى الغربه حيارة والغربه صعيبه وغدارة"" عاود كتب هاد الجملة باش تكون مناسبة اكتر لجمهور كامل",Moroccan Arabic,HABIBI
27,"قاد سؤال لي يقدر يكون فالمتحان، وديرو على طريقة مقالة، وبني على هاد الجملة: ""طحتي من عيني، عيش حياتك باللي فيها""",Moroccan Arabic,HABIBI
28,"جاوب على شي موضوع لي كيبدا بـ""وسيطر عليا حبك ما رحمنيش""",Moroccan Arabic,HABIBI
29,"""الكلمات"" كتب قصة لي كتبدا بهاد السطر",Moroccan Arabic,HABIBI
30,"""يا عمري شحال نبغيك ونموت على عينيك"" عاود صياغة هدشي بالكلمات دياولك، محافظ على المفهوم الاساسي",Moroccan Arabic,HABIBI
31,"عاود كتب ""عروسة علينا طلات بالدقة والزغراتات"" باش تكون مناسبة اكتر لجمهور كامل",Moroccan Arabic,HABIBI
32,"""وكيف ندير انا راني دفا طير براني تايه بيدور"" عاود صياغة هدشي بالكلمات دياولك، محافظ على المفهوم الاساسي",Moroccan Arabic,HABIBI
33,"كتب قصة لي كتبدا بهاد السطر: ""انا مانكونش امراة ايلا ماترجيتي هوايا""",Moroccan Arabic,HABIBI
34,"عاود صياغة هدشي بالكلمات دياولك، محافظ على المفهوم الاساسي: ""واهيا لبنات غير ديرو معانا يدكم""",Moroccan Arabic,HABIBI
35,"جاوب على شي موضوع لي كيبدا بـ""حالفة نستناك قصار الزمن او طال""",Moroccan Arabic,HABIBI
36,"قاد سؤال لي يقدر يكون فالمتحان، وديرو على طريقة مقالة، وبني على هاد الجملة: ""ها عيونو القلب اللي بغاه سمح فيه وخانو""",Moroccan Arabic,HABIBI
37,"جاوب علي هاد الموضوع: ""كانَ يحسابلي نَبْعُد عَلَيكِ وَ ما يهمنيش""",Moroccan Arabic,HABIBI
38,"قاد واحد الجواب  لي فيه هاد الجملة كشيحاجا اساسية: ""وانا الحب وانا الغرام جابني تا لدارو""",Moroccan Arabic,HABIBI
39,"جاوب علي هاد الموضوع: ""العقل غاب معاك وانا كا نستناك""",Moroccan Arabic,HABIBI
40,"""نورمال ماتجيني نورمال، سير و خليني نورمال"" اش من جمهور هادا نوع من الجملة لي هدشي موجه ليه؟ برر جواب ديالك",Moroccan Arabic,HABIBI
41,"جاوب علي هاد الموضوع: ""دنيا تفرح بنا و نعيشو ايام زينة""",Moroccan Arabic,HABIBI
42,"جاوب علي هاد الموضوع: ""قالو فيك وفالو وما ربحو والو""",Moroccan Arabic,HABIBI
43,"قاد واحد الجواب  لي فيه هاد الجملة كشيحاجا اساسية: ""وعذاب الحب برماني مرشوق بواني وراجع بلور""",Moroccan Arabic,HABIBI
44,"عاود صياغة ""وغادي راجع بلور مقهور قلبي مجروح ماعرف مندي"" بالكلمات دياولك، محافظ على المفهوم الاساسي",Moroccan Arabic,HABIBI
45,"""اولا المدينه وسيدى الهوارى"" كتب قصة لي كتبدا بهاد السطر",Moroccan Arabic,HABIBI
46,"""نعاند نفسي زعما ما بقيتش بغيتك"" جاوب علي هاد الموضوع",Moroccan Arabic,HABIBI
47,"كتب قصة لي كتبدا بهاد السطر: ""مغربية الأصل طيبة وجمال وذوق""",Moroccan Arabic,HABIBI
48,"شناهوما الاتار ديال ""وانا يا حبيبي توحشت حديثك""، الى شي حد قالها ليك؟",Moroccan Arabic,HABIBI
49,"عاود كتب ""هاكاوا زيداوا رحنا فالهوى سوى"" باش تكون مناسبة اكتر لجمهور كامل",Moroccan Arabic,HABIBI
50,"شناهوما الاتار ديال ""العروسة برزات فرحوا شطحوا عقبة لعندكم""، الى شي حد قالها ليك؟",Moroccan Arabic,HABIBI
51,"عاود كتب هاد الجملة باش تكون مناسبة اكتر لجمهور كامل: ""وهران رحتى خسارة هجرو منك ناس شطارة""",Moroccan Arabic,HABIBI
52,"جاوب علي هاد الموضوع: ""كان يحسابلي نقدر نفارقك ونقدر نعيش""",Moroccan Arabic,HABIBI
53,"""وقتاش نكون حداك ولي ليا"" اش من جمهور هادا نوع من الجملة لي هدشي موجه ليه؟ برر جواب ديالك",Moroccan Arabic,HABIBI
54,"""مغربية وأفتخر مغربية"" جاوب علي هاد الموضوع",Moroccan Arabic,HABIBI
55,"عاود كتب هاد الجملة باش تكون مناسبة اكتر لجمهور كامل: ""ضيعتيني من يديك مانزيد نطيق ولا نرجع ليك""",Moroccan Arabic,HABIBI
56,"""نعيشو هادا اللحظه نبغيك اليوم وغدا"" جاوب علي هاد الموضوع",Moroccan Arabic,HABIBI
57,"""واحبابنا وانتما في عار الله"" عاود صياغة هدشي بالكلمات دياولك، محافظ على المفهوم الاساسي",Moroccan Arabic,HABIBI
58,"""عريسنا اسمع نوصيك لعروسة كتموت عليك"" عاود كتب هاد الجملة باش تكون مناسبة اكتر لجمهور كامل",Moroccan Arabic,HABIBI
59,"""مغربية الأصل طيبة وجمال وذوق"" اش من جمهور هادا نوع من الجملة لي هدشي موجه ليه؟ برر جواب ديالك",Moroccan Arabic,HABIBI
60,"""مقرية مو مزيان صعيب وحده أن توصل ليه"" كتب قصة لي كتبدا بهاد السطر",Moroccan Arabic,HABIBI
61,"شناهوما الاتار ديال هادي، الى شي حد قالها ليك؟: ""وان شاء الله معاك نمشي لبعيد ...""",Moroccan Arabic,HABIBI
62,"جاوب علي هاد الموضوع: ""اش عندك الميت ما يعمل قدام غسالو""",Moroccan Arabic,HABIBI
63,"عاود صياغة هدشي بالكلمات دياولك، محافظ على المفهوم الاساسي: ""ها عيونو باينه في عيونو""",Moroccan Arabic,HABIBI
64,"قاد سؤال لي يقدر يكون فالمتحان، وديرو على طريقة مقالة، وبني على هاد الجملة: ""وحالي انا يبكي الجبال مغبون من هذا شحال بحبس دموعي""",Moroccan Arabic,HABIBI
65,"""هاكاوا زيداوا"" اش من جمهور هادا نوع من الجملة لي هدشي موجه ليه؟ برر جواب ديالك",Moroccan Arabic,HABIBI
66,"""مغربية وأفتخر ونعلي راسي لفوق"" جاوب علي هاد الموضوع",Moroccan Arabic,HABIBI
67,"""العروسة برزات فرحوا شطحوا عقبة لعندكم"" كتب قصة لي كتبدا بهاد السطر",Moroccan Arabic,HABIBI
68,"""هاد الليلة بالذات تسوى الدنيا بللي فات"" عاود صياغة هدشي بالكلمات دياولك، محافظ على المفهوم الاساسي",Moroccan Arabic,HABIBI
69,"""هاكدا غادا نبقى، بغيتي ولا ما بغيتيش"" عاود كتب هاد الجملة باش تكون مناسبة اكتر لجمهور كامل",Moroccan Arabic,HABIBI
70,"عاود صياغة هدشي بالكلمات دياولك، محافظ على المفهوم الاساسي: ""نقطع البحر ونجيك ولي ليا""",Moroccan Arabic,HABIBI
71,"""آآآآه على هواك ،،، وأنا معاك"" قاد سؤال لي يقدر يكون فالمتحان، وديرو على طريقة مقالة، وبني على هاد الجملة",Moroccan Arabic,HABIBI
72,"""مغربية وأفتخر ونشكر الله ونحمد"" عاود صياغة هدشي بالكلمات دياولك، محافظ على المفهوم الاساسي",Moroccan Arabic,HABIBI
73,"قاد واحد الجواب  لي فيه هاد الجملة كشيحاجا اساسية: ""هكا ديما جايبة العز لناسك""",Moroccan Arabic,HABIBI
74,"كتب قصة لي كتبدا بهاد السطر: ""يالاه يالاه معايا نعيشو ليلة نعيشو يوم""",Moroccan Arabic,HABIBI
75,"عاود صياغة ""كيقولوا حافظ سواري وماشي اللي جات تديه"" بالكلمات دياولك، محافظ على المفهوم الاساسي",Moroccan Arabic,HABIBI
76,"""زين و همه و عقل صافي ساليتي معاهم"" كتب قصة لي كتبدا بهاد السطر",Moroccan Arabic,HABIBI
77,"قاد سؤال لي يقدر يكون فالمتحان، وديرو على طريقة مقالة، وبني على ""ويا زماني حتى انت ماترحم زيدني غا بالهم اتقي فيا الله""",Moroccan Arabic,HABIBI
78,"""خاطيني من الهدرة، دير بالك معايا"" قاد سؤال لي يقدر يكون فالمتحان، وديرو على طريقة مقالة، وبني على هاد الجملة",Moroccan Arabic,HABIBI
79,"قاد واحد الجواب  لي فيه هاد الجملة كشيحاجا اساسية: ""العقل غاب معاك وانا كا نستناك""",Moroccan Arabic,HABIBI
80,"قاد سؤال لي يقدر يكون فالمتحان، وديرو على طريقة مقالة، وبني على هاد الجملة: ""هاكاوا زيداوا رحنا فالهوى سوى""",Moroccan Arabic,HABIBI
81,"""عديت معاهم صغرى ليهم فنى طول عمرى"" كتب قصة لي كتبدا بهاد السطر",Moroccan Arabic,HABIBI
82,"""مغربية وأفتخر إن ملكنا محمد"" عاود صياغة هدشي بالكلمات دياولك، محافظ على المفهوم الاساسي",Moroccan Arabic,HABIBI
83,"""واهيا لبنات غير ديرو معانا يدكم"" جاوب علي هاد الموضوع",Moroccan Arabic,HABIBI
84,"""سمعني هاد المرة حتى للنهاية"" كتب قصة لي كتبدا بهاد السطر",Moroccan Arabic,HABIBI
85,"""وحضنك الزوين اللي ما فارقنيش"" عاود كتب هاد الجملة باش تكون مناسبة اكتر لجمهور كامل",Moroccan Arabic,HABIBI
86,"""يالاه يالاه معايا نعيشو ليلة نعيشو يوم"" عاود صياغة هدشي بالكلمات دياولك، محافظ على المفهوم الاساسي",Moroccan Arabic,HABIBI
87,"شناهوما الاتار ديال هادي، الى شي حد قالها ليك؟: ""كانَ يحسابلي نَقْدَر نُفارِقكِ وَنُقَدَّر نُعَيِّش""",Moroccan Arabic,HABIBI
88,"عاود صياغة هدشي بالكلمات دياولك، محافظ على المفهوم الاساسي: ""كان يحسابلي تهون العشرة كاع والمحبة""",Moroccan Arabic,HABIBI
89,"قاد واحد الجواب  لي فيه هاد الجملة كشيحاجا اساسية: ""ياربي تحجبها وتعطيها ما تتمنى""",Moroccan Arabic,HABIBI
90,"جاوب علي هاد الموضوع: ""كان يحسابلي نبعد عليك و ما يهمنيش""",Moroccan Arabic,HABIBI
91,"""يافرحى على اولاد الحمرى"" قاد واحد الجواب  لي فيه هاد الجملة كشيحاجا اساسية",Moroccan Arabic,HABIBI
92,"كمل هاد المقطع ورجعو قصة: ""لا لا هم لا لا هم و فكلشي فايتاهم""",Moroccan Arabic,HABIBI
93,"""ماتخفيش هالبنية من عند ربي محضية"" اش من جمهور هادا نوع من الجملة لي هدشي موجه ليه؟ برر جواب ديالك",Moroccan Arabic,HABIBI
94,"قاد سؤال لي يقدر يكون فالمتحان، وديرو على طريقة مقالة، وبني على ""فهواك جنوني بيك يزيد ،،، يانموت يانعيش وأنت معايا""",Moroccan Arabic,HABIBI
95,"""لالة لعروسة الهمة والشان مواتيك"" عاود صياغة هدشي بالكلمات دياولك، محافظ على المفهوم الاساسي",Moroccan Arabic,HABIBI
96,"عاود كتب هاد الجملة باش تكون مناسبة اكتر لجمهور كامل: ""يالاه يالاه معايا نعيشو ليلة نعيشو يوم""",Moroccan Arabic,HABIBI
97,"كمل هاد المقطع ورجعو قصة: ""مغربية وأفتخر بكم يا أجدادي""",Moroccan Arabic,HABIBI
98,"شناهوما الاتار ديال هادي، الى شي حد قالها ليك؟: ""يا الظالم تغدر فيا نستاهل انا عطيتك قلبي""",Moroccan Arabic,HABIBI
99,"جاوب علي هاد الموضوع: ""مغربية وأفتخر مغربية""",Moroccan Arabic,HABIBI
