estimator,completion,generations,finish_reasons,turns,response_spBLEU,response_chrF,dialectid_score,dialectid_prob,dialectness,macro_prob,macro_score,raw_prompt,_raw_turns,from_cache,chat_preamble,desired_output_dialect,too_few_tokens,error,tool_calls,tool_results
Blobheart:command-r-plus,لما تسافر أول مرة، الناس بتكون صبورة وبتتفهم إنه الأشخاص اللي بيجوا على بلد جديد يبحتاجوا وقت ليتأقلموا.,['عندما سافرت إلى الخارج في البداية، كان الناس على الأرجح صبورين ومتفهمين، مدركين أن المسافرين في بلد جديد يحتاجون إلى التكيف.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3c04d3520>,4.965096889277056,24.287410749424502,1.4116731664325262e-05,0.006604818627238274,0.002137338276952505,0.03258830413687974,6.965222981272274e-05,"<BOS_TOKEN><|START_OF_TURN_TOKEN|><|USER_TOKEN|>Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.
When you went abroad at first, people were probably patient and understanding, knowing that travellers in a new country need to adapt.
Translation:<|END_OF_TURN_TOKEN|><|START_OF_TURN_TOKEN|><|CHATBOT_TOKEN|>","[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nWhen you went abroad at first, people were probably patient and understanding, knowing that travellers in a new country need to adapt.\nTranslation:'}]}]",False,,syr,False,None,None,None
Blobheart:command-r-plus,بتحتوي البيئة الجديدة على موارد مختلفة ومنافسين مختلفين، لهالسبب رح يحتاج السكان الجدد لميزات أو تعديلات مختلفة ليكونوا منافسين أقويا بعكس اللي كانوا عليه من قبل.,['سيتطلب هذا المحيط الجديد موارد ومنافسين مختلفين، لذا ستحتاج التجمعات السكانية الجديدة إلى سمات أو تكيفات مختلفة لتصبح منافسة قوية، وذلك بخلاف ما كانت تحتاجه في السابق.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3e61a1460>,14.94346640392535,34.0663846870004,0.0,0.009283939376473427,0.0,0.04712730087339878,0.0,"<BOS_TOKEN><|START_OF_TURN_TOKEN|><|USER_TOKEN|>Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.
This new environment has different resources and different competitors, so the new population will need different features or adaptations to be a strong competitor than what they had needed before.
Translation:<|END_OF_TURN_TOKEN|><|START_OF_TURN_TOKEN|><|CHATBOT_TOKEN|>","[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nThis new environment has different resources and different competitors, so the new population will need different features or adaptations to be a strong competitor than what they had needed before.\nTranslation:'}]}]",False,,syr,False,None,None,None
Blobheart:command-r-plus,للحصول على أخبار عن البطولات وأماكن شراء تذاكر مباريات البولو، شوف Asociacion Argentina de Polo.,['للاطلاع على أخبار البطولات ومعرفة أماكن شراء تذاكر مباريات البولو، يرجى مراجعة موقع Asociacion Argentina de Polo.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3e61a1370>,50.58816516597542,72.02657255587191,0.00011963327452482048,0.009555090218782425,0.01252037100493908,0.024217024445533752,0.0003032061306937617,"<BOS_TOKEN><|START_OF_TURN_TOKEN|><|USER_TOKEN|>Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.
For news on tournaments and where to buy tickets for polo matches, check Asociacion Argentina de Polo.
Translation:<|END_OF_TURN_TOKEN|><|START_OF_TURN_TOKEN|><|CHATBOT_TOKEN|>","[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nFor news on tournaments and where to buy tickets for polo matches, check Asociacion Argentina de Polo.\nTranslation:'}]}]",False,,syr,False,None,None,None
Blobheart:command-r-plus,بعد كل شي، القائد هو المسؤول بالنهاية عن نجاح وفشل الفريق.,['في النهاية، القائد هو المسؤول في النهاية عن نجاح وفشل الفريق.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3e61a17f0>,63.832403259199225,72.48741588943611,0.0,0.01116215530782938,0.0,0.054647920187562704,0.0,"<BOS_TOKEN><|START_OF_TURN_TOKEN|><|USER_TOKEN|>Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.
After all, the leader is ultimately responsible for the success and failure of the team.
Translation:<|END_OF_TURN_TOKEN|><|START_OF_TURN_TOKEN|><|CHATBOT_TOKEN|>","[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nAfter all, the leader is ultimately responsible for the success and failure of the team.\nTranslation:'}]}]",False,,syr,False,None,None,None
Blobheart:command-r-plus,السيدات: من الأفضل تقول أي مسافرة إنها متزوجة، بغض النظر عن حالتها الاجتماعية الفعلية.,['النساء: يُنصح بأن تقول أي مسافرة إنها متزوجة، بغض النظر عن حالتها الاجتماعية الحقيقية.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3e61a11f0>,63.835718606546465,71.03744782445465,0.0,0.012448693625628948,0.0,0.0333605722989887,0.0,"<BOS_TOKEN><|START_OF_TURN_TOKEN|><|USER_TOKEN|>Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.
Women: It is recommended that any women travellers say that they are married, regardless of actual marital status.
Translation:<|END_OF_TURN_TOKEN|><|START_OF_TURN_TOKEN|><|CHATBOT_TOKEN|>","[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nWomen: It is recommended that any women travellers say that they are married, regardless of actual marital status.\nTranslation:'}]}]",False,,syr,False,None,None,None
Blobheart:command-r-plus,بتعتمد العديد من الإيقاعات المرصودة بعلم وظايف الأعضاء والسلوك كتير على وجود دورات داخلية وإنتاجها من خلال الساعات البيولوجية.,['يعتمد العديد من الإيقاعات الملاحظة في الفسيولوجيا والسلوك بشكل حاسم على وجود دورات داخلية وإنتاجها من خلال الساعات البيولوجية.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3e61a1910>,56.09969121960744,70.04567134169449,0.0,0.044405095279216766,0.0,0.11914783762767911,0.0,"<BOS_TOKEN><|START_OF_TURN_TOKEN|><|USER_TOKEN|>Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.
Many observed rhythms in physiology and behavior often crucially depend on the presence of endogenous cycles and their production through biological clocks.
Translation:<|END_OF_TURN_TOKEN|><|START_OF_TURN_TOKEN|><|CHATBOT_TOKEN|>","[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nMany observed rhythms in physiology and behavior often crucially depend on the presence of endogenous cycles and their production through biological clocks.\nTranslation:'}]}]",False,,syr,False,None,None,None
Blobheart:command-r-plus,بتضم معظم رحلات البلطيق المتميزة بإقامة طويلة بسانت بطرسبرغ بروسيا.,['تتميز معظم رحلات بحر البلطيق المميزة بإقامة ممتدة في سانت بطرسبرغ، روسيا.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3e61a11c0>,39.09443137613962,53.38530272042813,0.0,0.09698233008384705,0.0,0.49806030839681625,0.0,"<BOS_TOKEN><|START_OF_TURN_TOKEN|><|USER_TOKEN|>Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.
Most of the distinct Baltic Cruises feature an extended stay in St. Petersburg, Russia.
Translation:<|END_OF_TURN_TOKEN|><|START_OF_TURN_TOKEN|><|CHATBOT_TOKEN|>","[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nMost of the distinct Baltic Cruises feature an extended stay in St. Petersburg, Russia.\nTranslation:'}]}]",False,,syr,False,None,None,None
Blobheart:command-r-plus,لما يتربى الولد مع حيوانات غير بشرية ببلش يعمل حركات (ضمن الحدود الجسدية) بتشبه تمامًا حركات الحيوانات متل خوفه من البشر أو لا مبالاته تجاههم.,['عندما يتربى الطفل البري بشكل كامل على يد حيوانات غير بشرية، فإنه يظهر سلوكيات (ضمن الحدود الجسدية) تشبه إلى حد كبير سلوكيات الحيوان المربي، مثل خوفه من البشر أو عدم مبالاته بهم.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3e61a1280>,32.11281880842244,51.52386417154406,0.0,0.0855119526386261,0.0,0.31175065226852894,0.0,"<BOS_TOKEN><|START_OF_TURN_TOKEN|><|USER_TOKEN|>Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.
When completely brought up by non-human animals, the feral child exhibits behaviors (within physical limits) almost entirely like those of the particular care-animal, such as its fear of or indifference to humans.
Translation:<|END_OF_TURN_TOKEN|><|START_OF_TURN_TOKEN|><|CHATBOT_TOKEN|>","[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nWhen completely brought up by non-human animals, the feral child exhibits behaviors (within physical limits) almost entirely like those of the particular care-animal, such as its fear of or indifference to humans.\nTranslation:'}]}]",False,,syr,False,None,None,None
Blobheart:command-r-plus,نظريتين منتشرين للمحتوى هن التسلسل الهرمي لنظرية الاحتياجات لماسلو ونظرية العامل التاني لهيرتسبرج.,['هناك نظريتان شائعتان حول المحتوى، وهما: نظرية ماسلو لتسلسل الاحتياجات، ونظرية العاملين لهيرزبرغ.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3e61a1520>,21.339518760946117,37.38271239459904,0.0,0.12108860164880753,0.0,0.2681260760873556,0.0,"<BOS_TOKEN><|START_OF_TURN_TOKEN|><|USER_TOKEN|>Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.
Two popular content theories are Maslow's Hierarchy of Needs Theory and Hertzberg's Two Factor Theory.
Translation:<|END_OF_TURN_TOKEN|><|START_OF_TURN_TOKEN|><|CHATBOT_TOKEN|>","[{'role': 'User', 'content': [{'type': 'text', 'text': ""Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nTwo popular content theories are Maslow's Hierarchy of Needs Theory and Hertzberg's Two Factor Theory.\nTranslation:""}]}]",False,,syr,False,None,None,None
Blobheart:command-r-plus,توصلت لهيدا الاستنتاج بسبب التعليقات الإيجابية والتشجيعات الكتيرة اللي بعتلها ياها رجال ونسوان شجعوها على اعتبار أدوية منع الحمل ضرورة طبية.,['توصلت إلى هذا الاستنتاج بسبب كثرة التعليقات الإيجابية والتشجيع الذي تلقته من الأفراد من الإناث والذكور على حد سواء، الذين يحثون على اعتبار أدوية منع الحمل ضرورة طبية.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3e61a1f10>,41.23372959931048,58.54789493574657,0.0,0.056045450270175934,0.0,0.38311717938631773,0.0,"<BOS_TOKEN><|START_OF_TURN_TOKEN|><|USER_TOKEN|>Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.
She came to this conclusion due to the multitude of positive comments and encouragement sent to her by both female and male individuals urging that contraception medication be considered a medical necessity.
Translation:<|END_OF_TURN_TOKEN|><|START_OF_TURN_TOKEN|><|CHATBOT_TOKEN|>","[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nShe came to this conclusion due to the multitude of positive comments and encouragement sent to her by both female and male individuals urging that contraception medication be considered a medical necessity.\nTranslation:'}]}]",False,,syr,False,None,None,None
