estimator,from_cache,completion,generations,finish_reasons,turns,response_spBLEU,response_chrF,dialectid_score,dialectid_prob,dialectness,macro_prob,macro_score,raw_prompt,_raw_turns,chat_preamble,documents,desired_output_dialect,too_few_tokens,error,error_traceback
Blobheart:command-r-plus,True,فيه أى مضيفة بتتكلم ياباني؟,['هل هناك أي مضيفات يتحدثن اليابانية؟'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3dde7310>,3.673526562988939,21.562731298215816,0.0,0.0004872202407568693,0.0,0.017685993341729045,0.0,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nAre there any stewardesses who speak Japanese?\nTranslation:'}]}]",,(),egy,False,None,None
Blobheart:command-r-plus,True,قهوة بالكريمة والسكر، من فضلك.,['مِن فضلك قهوة بلبن و سكر.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3dd68ee0>,7.768562846380176,27.328788657316455,0.48421038785005877,0.7887071967124939,0.6139292120933533,0.9343318045139313,0.5736135885789988,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nCoffee with cream and sugar, please.\nTranslation:'}]}]",,(),egy,False,None,None
Blobheart:command-r-plus,True,فيه اى مضيفة بتتكلم ياباني؟,['هل هناك أي مضيفة تتحدث اليابانية؟'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3dd68f70>,8.403703759902122,27.22185365317895,0.0,0.0017081666737794876,0.0,0.2594174016267061,0.0,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nIs there any stewardess who speaks Japanese?\nTranslation:'}]}]",,(),egy,False,None,None
Blobheart:command-r-plus,True,ضيعت ورقة الاستلام بتاعتي.,['انا ضيعت تيكت المطالبة بتاعتي.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3dd68e20>,25.712008025141323,36.130643859337,0.34462235554008736,0.9866347908973694,0.3492906987667084,0.9878513248404488,0.345047279531139,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nI lost my claim tag.\nTranslation:'}]}]",,(),egy,False,None,None
Blobheart:command-r-plus,True,خلينا نكون سوا عشان نناقش ده اكتر .,['خلينا نتجمع عشان نناقش الموضوع ده بشكل أعمق.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3dd68550>,29.256127307315065,40.17987493850242,0.8407554712016321,0.9903150200843811,0.84897780418396,0.9908828408224508,0.8412375384050086,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': ""Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nLet's get together to discuss this further.\nTranslation:""}]}]",,(),egy,False,None,None
Blobheart:command-r-plus,True,عاوز أشوف المينا.,['عايز أشوف المينا'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3dd685e0>,43.01250851313264,65.09810090096879,0.8756553561506735,0.9182281494140625,0.9536359310150146,0.9190938307438046,0.8764809009715244,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nI want to see the harbor.\nTranslation:'}]}]",,(),egy,False,None,None
Blobheart:command-r-plus,True,فين أقرب صيدلية؟,['فين أقرب صيدلية؟'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3dd68520>,100.00000000000004,100.0,0.7386903770404984,0.9362541437149048,0.7889848947525024,0.9388008008245379,0.740699651032113,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': ""Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nWhere's the nearest chemist?\nTranslation:""}]}]",,(),egy,False,None,None
Blobheart:command-r-plus,True,متهيألي ان المنظر خلاب .,['أعتقد أنها خلابة.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3dd68b20>,3.929752628321626,13.52047047807875,0.0007616059433887198,0.007714205887168646,0.09872771799564362,0.22727625956758857,0.022438466461693583,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': ""Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nI think it's scenic.\nTranslation:""}]}]",,(),egy,False,None,None
Blobheart:command-r-plus,True,ايه اللي حيتعزف في قاعة الحفلات الموسيقية النهاردة؟,['ايه اللي هيشتغل في قاعة الحفلات النهارده؟'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3dd68c70>,25.809486147846147,54.10659164232494,0.9568482615238807,0.9908145070075989,0.9657188653945923,0.991556084016338,0.9575644164313629,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nWhat is playing at the concert hall today?\nTranslation:'}]}]",,(),egy,False,None,None
Blobheart:command-r-plus,True,خدني للمستشفى.,['خدني على المستشفى'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3dd68b50>,19.3576934939088,45.106428848144,0.007437809467650269,0.019339676946401596,0.3845880925655365,0.02047086041420698,0.007872849159875211,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nTake me to the hospital.\nTranslation:'}]}]",,(),egy,False,None,None
Blobheart:command-r-plus,True,أوة، لا ولا حاجه . المهم انك هنا، على اى حال .,['أه، مفيش. انت هنا، على أي حال.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3dd68af0>,10.262981915281355,26.218044147149932,0.9343939198422646,0.9771989583969116,0.9561961889266968,0.9795859507285058,0.9366763528127322,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': ""Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nOh, it's nothing. You're here, anyway.\nTranslation:""}]}]",,(),egy,False,None,None
Blobheart:command-r-plus,True,انت كان المفروض تاخد الرحلة تمانية اتنين صفر، اللي اقلعت من خمستاشر دقيقة . على الى حال انا اقدر ارتب رحلة جديدة عشانك .,['انت المفروض تركب الطيارة رقم 820، اللي أقلعت من ربع ساعة. ماشي، أقدر أحجزلك على طيارة تانية.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3dd681c0>,8.093450133662193,22.61878079858176,0.10325598200020814,0.11646983027458191,0.8865470290184021,0.12071722513064742,0.10702149729092106,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nYou were supposed to take flight eight two zero, which took off fifteen minutes ago. All right. I can arrange another flight for you.\nTranslation:'}]}]",,(),egy,False,None,None
Blobheart:command-r-plus,True,السنة ملخلخة.,['الضرس بيتحرك'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3dd68250>,0.0,4.335382359575908,0.1431225645795804,0.17925231158733368,0.7984419465065002,0.21793147921562195,0.1740056344699621,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nThe tooth is loose.\nTranslation:'}]}]",,(),egy,False,None,None
Blobheart:command-r-plus,True,كرسي لغير المدخنين، لو سمحت .,['من فضلك، مقعد لغير المدخنين.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3dd68130>,36.72056269893591,39.64331839975432,0.0003875652624842872,0.055021487176418304,0.007043889258056879,0.6347551569342613,0.004471145031425452,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nA non-smoking seat, please.\nTranslation:'}]}]",,(),egy,False,None,None
Blobheart:command-r-plus,True,بكام المشروم الطازه؟,['كام سعر المشروم الطازة؟'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3dd68970>,19.070828081828378,53.29743607391496,0.4434273548888932,0.9924543499946594,0.44679874181747437,0.9931318553281017,0.4437300634194498,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nHow much are fresh mushrooms?\nTranslation:'}]}]",,(),egy,False,None,None
Blobheart:command-r-plus,True,لو ينفع، انا بأفضل ان السن ما يتخلعش .,['لو ممكن، أنا أفضل إني مخرجش الضرس.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3dd68a00>,3.149696072246702,14.86345716637462,0.5034137560451128,0.9913339018821716,0.5078145265579224,0.9926519041182473,0.5040830567266279,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': ""Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nIf possible, I'd rather not have the tooth out.\nTranslation:""}]}]",,(),egy,False,None,None
Blobheart:command-r-plus,True,عايز أوضة بتبص على البحيرة.,['عايزين أوضة بتبص على البحيرة.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3dd68940>,80.91067115702207,85.13534344670433,0.9398297253247279,0.9928968548774719,0.9465532302856445,0.9936356086982414,0.9405289951401631,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': ""Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nWe'd like a room overlooking the lake.\nTranslation:""}]}]",,(),egy,False,None,None
Blobheart:command-r-plus,True,انا فاهم، بس ما اقدرش اتكلم .,['أنا فاهم، بس مقدرش أقول.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3dd68bb0>,21.386638885976566,42.55912111798706,0.0,0.0,0.0,0.0,0.0,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': ""Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nI understand, but I can't say it.\nTranslation:""}]}]",,(),egy,False,None,None
Blobheart:command-r-plus,True,عايز كروت تذكارية لهاواي .,['أنا بدور على كروت تكون على الطراز الهاواي التقليدي.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3dd682e0>,8.59076483566362,27.264324267924795,0.04334962152786059,0.10426870733499527,0.41574910283088684,0.1116348672658205,0.04641209591041001,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': ""Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nI'm looking for some cards that are typically Hawaiian.\nTranslation:""}]}]",,(),egy,False,None,None
Blobheart:command-r-plus,True,لو سمحت، دوس على زرار التوصير، من فضلك.,['لو سمحت. إضغط على زر التصوير، من فضلك.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3dd68a60>,29.256127307315065,49.99906117517313,0.00030310827464490736,0.022996433079242706,0.013180664740502834,0.04737449064850807,0.0006244272784900716,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nExcuse me. Press the shutter, please.\nTranslation:'}]}]",,(),egy,False,None,None
Blobheart:command-r-plus,True,بونساي شكلها هواية حد من زمان.,['البونساي تبدو كهواية لشخص عجوز.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3dd68d00>,7.347053125977879,24.2175521697104,0.00021985571995161712,0.014316938817501068,0.015356335788965225,0.0561462938785553,0.0008622013421050179,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': ""Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nBonsai sounds like an old person's hobby.\nTranslation:""}]}]",,(),egy,False,None,None
