estimator,from_cache,completion,generations,finish_reasons,turns,response_spBLEU,response_chrF,dialectid_score,dialectid_prob,dialectness,macro_prob,macro_score,raw_prompt,_raw_turns,chat_preamble,desired_output_dialect,too_few_tokens,error,tool_calls,tool_results
Blobheart:command-r-plus,True,لما سافرت بره في البداية، كان الناس ممكن صبورين ومتفهمين، مع العلم أن المسافرين في بلد جديد لازم يتأقلموا على الوضع.,['لما سافرت بره أول مرة، الناس كانوا أكيد صبورين و متفهمين، عارفين إن المسافرين في بلد جديدة محتاجين يتأقلموا.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3c05a4520>,33.235014177514145,48.77451836420148,0.7662381041122721,0.9839780926704407,0.7787145972251892,0.9865534109994769,0.7682435420875942,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nWhen you went abroad at first, people were probably patient and understanding, knowing that travellers in a new country need to adapt.\nTranslation:'}]}]",,egy,False,None,None,None
Blobheart:command-r-plus,True,بسبب أن البيئة الجديدة دي فيها موارد ومنافسين مختلفين، المجموعة حديثة العهد دي هتحتاج خواص مختلفة أو سبل تكيف عشان تبقى منافس أقوي لو عملنا مقارنة بالقوة اللي احتاجتها قبل كده.,['هالبيئة الجديدة فيها موارد مختلفة و منافسين مختلفين، فالسكان الجدد هيحتاجوا صفات أو تكيفات مختلفة عشان يكونوا منافسين أقوياء بشكل مختلف عن اللي كانوا محتاجينه قبل كده.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3c05a62b0>,11.745312285436365,37.392292666290615,0.05053108550720653,0.08640361577272415,0.5848260521888733,0.09085128409788013,0.053132197815252996,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nThis new environment has different resources and different competitors, so the new population will need different features or adaptations to be a strong competitor than what they had needed before.\nTranslation:'}]}]",,egy,False,None,None,None
Blobheart:command-r-plus,True,لو عاوز تعرف أخبار عن البطولات وأماكن شراء تذاكر مباريات البولو، ادخل اتفرج على رابطة البولو الأرجنتينية.,['للحصول على أخبار البطولات ومعرفة أماكن شراء تذاكر مباريات البولو، يرجى مراجعة موقع Asociacion Argentina de Polo.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3c05a64f0>,34.76691026410237,41.574134371597346,0.00022315771785318649,0.023176973685622215,0.009628423489630222,0.026140590431168675,0.0002516926749402675,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nFor news on tournaments and where to buy tickets for polo matches, check Asociacion Argentina de Polo.\nTranslation:'}]}]",,egy,False,None,None,None
Blobheart:command-r-plus,True,وبعد كل ده، القائد هو اللي بيتحمل النجاح والفشل للفريق.,['الرئيس في النهاية هو المسؤول عن نجاح وفشل الفريق.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3c05a6940>,4.4301276307049475,23.393552863339863,0.0,0.0766032263636589,0.0,0.08402056992053986,0.0,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nAfter all, the leader is ultimately responsible for the success and failure of the team.\nTranslation:'}]}]",,egy,False,None,None,None
Blobheart:command-r-plus,True,بالنسبة للستات: بدون ما نبص على الحالة الاجتماعية الفعلية، لازم الستات إللي هيسافروا  يعلنوا إنهم متزوجات.,['النساء: يُنصح أن تقول أي مسافرة إنها متزوجة، بغض النظر عن حالتها الاجتماعية الحقيقية.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3c05a6a00>,5.200664700063389,22.267007241378195,7.537738185162471e-07,0.008041046559810638,9.374076034873724e-05,0.01222453499212861,1.1459372050718806e-06,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nWomen: It is recommended that any women travellers say that they are married, regardless of actual marital status.\nTranslation:'}]}]",,egy,False,None,None,None
Blobheart:command-r-plus,True,كتير من الإيقاعات اللي بتترصد في علم وظائف الأعضاء والسلوك بتعتمد بشكل كبير في أوقات كتيرة على وجود دورات ذاتية وإنتاجها عن طريق الساعات البيولوجية.,['يعتمد الكثير من الإيقاعات الملاحظة في علم وظائف الأعضاء والسلوك بشكل حاسم على وجود دورات داخلية وإنتاجها من خلال الساعات البيولوجية.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3c05a66d0>,44.29589066528187,57.53337187895593,0.0,0.005112604703754187,0.0,0.008141215657815337,0.0,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nMany observed rhythms in physiology and behavior often crucially depend on the presence of endogenous cycles and their production through biological clocks.\nTranslation:'}]}]",,egy,False,None,None,None
Blobheart:command-r-plus,True,معظم رحلات البلطيق المتميزة بيكون فيها ميزة الإقامة الدائمة في سانت بطرسبرغ بروسيا.,['معظم رحلات بحر البلطيق المميزة تتضمن إقامة مطولة في سانت بطرسبرج، روسيا.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3c05a6ee0>,32.713353896347876,44.67425761800388,0.0,0.1586572825908661,0.0,0.1745185162872076,0.0,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nMost of the distinct Baltic Cruises feature an extended stay in St. Petersburg, Russia.\nTranslation:'}]}]",,egy,False,None,None,None
Blobheart:command-r-plus,True,لما بيتربى عن طريق حيوانات غير بشرية، الطفل الوحشي بيظهر سلوكيات (ضمن الحدود المادية) تشبه أوي سلوكيات حيوان الرعاية الخاصة، زي الخوف من البشر أو عدم الاكتراث بهم.,['عندما يتربى الطفل البري بشكل كامل على يد حيوانات غير بشرية، فإنه يظهر سلوكيات (ضمن الحدود الجسدية) تشبه إلى حد كبير سلوكيات الحيوان المُربي، مثل خوفه من البشر أو عدم مبالاته بهم.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3c05a6700>,32.68602308608005,52.211415440671786,0.0,0.0572686642408371,0.0,0.06392603134736419,0.0,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nWhen completely brought up by non-human animals, the feral child exhibits behaviors (within physical limits) almost entirely like those of the particular care-animal, such as its fear of or indifference to humans.\nTranslation:'}]}]",,egy,False,None,None,None
Blobheart:command-r-plus,True,نظريتين مشهورين للمحتوى هما تسلسل ماسلو الهرمي للاحتياجات و نظرية العامل الثاني لهيرزبرج.,['هناك نظريتان شائعتان حول المحتوى، وهما نظرية ماسلو لتسلسل الاحتياجات ونظرية العاملين لهيرتزبرغ.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3c06263d0>,9.241713818460438,39.14558771328507,0.0,0.024733848869800568,0.0,0.04693031497299671,0.0,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': ""Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nTwo popular content theories are Maslow's Hierarchy of Needs Theory and Hertzberg's Two Factor Theory.\nTranslation:""}]}]",,egy,False,None,None,None
Blobheart:command-r-plus,True,وصلت للاستنتاج ده عشان التعليقات الإيجابية والتشجيعات اللي بعتها لها ستات ورجالة بيشجعوا أن أدوية منع الحمل حاجة طبية ضرورية.,['توصلت إلى هذا الاستنتاج بسبب كثرة التعليقات الإيجابية والتشجيع الذي تلقته من الأفراد من الإناث والذكور على حد سواء، الذين يحثون على اعتبار أدوية منع الحمل ضرورة طبية.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3c0626550>,26.52373424628067,42.75367986309447,0.0,0.00951184518635273,0.0,0.012775791110470891,0.0,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nShe came to this conclusion due to the multitude of positive comments and encouragement sent to her by both female and male individuals urging that contraception medication be considered a medical necessity.\nTranslation:'}]}]",,egy,False,None,None,None
