estimator,from_cache,completion,generations,finish_reasons,turns,response_spBLEU,response_chrF,dialectid_score,dialectid_prob,dialectness,macro_prob,macro_score,raw_prompt,_raw_turns,chat_preamble,documents,desired_output_dialect,too_few_tokens,error,error_traceback
Blobheart:command-r-plus,True,في شي مضيفات بيحكوا ياباني؟,['هل هناك أي مضيفات يجيدون التحدث باللغة اليابانية؟'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3dc69910>,9.147827112247601,30.05133013516719,0.0,0.0005102482391521335,0.0,0.003933614993002266,0.0,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nAre there any stewardesses who speak Japanese?\nTranslation:'}]}]",,(),syr,False,None,None
Blobheart:command-r-plus,True,قهوة مع كريما وسكر، لو سمحت.,['قهوة مع كريمة وسكر، من فضلك.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3dd1bd00>,32.03558799120807,46.6452672359423,0.0002630258603561024,0.0009403792791999876,0.2797018885612488,0.016719538311008364,0.004676486441461191,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nCoffee with cream and sugar, please.\nTranslation:'}]}]",,(),syr,False,None,None
Blobheart:command-r-plus,True,في شي مضيفة بتحكي ياباني؟,['هل هناك أي مضيفة تتحدث اليابانية؟'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3dd1b880>,8.403703759902122,30.689174673163492,0.0,0.0005123441806063056,0.0,0.004095407959539443,0.0,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nIs there any stewardess who speaks Japanese?\nTranslation:'}]}]",,(),syr,False,None,None
Blobheart:command-r-plus,True,ضيعت بطاقة الاستلام تبعي.,['لقد فقدت بطاقة طلبي.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3dc5cd00>,17.20339087300932,22.308745501226728,0.0,0.0009079001029022038,0.0,0.005316627211868763,0.0,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nI lost my claim tag.\nTranslation:'}]}]",,(),syr,False,None,None
Blobheart:command-r-plus,True,خلينا نلتقي لناقش هالموضوع بشكل أوسع.,['لنلتقي لنتناقش في هذا الأمر أكثر.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3dc5c610>,5.771298850643905,22.30287341082439,0.0,0.004343661945313215,0.0,0.010976131539791822,0.0,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': ""Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nLet's get together to discuss this further.\nTranslation:""}]}]",,(),syr,False,None,None
Blobheart:command-r-plus,True,بدي شوف الميناء.,['بدي شوف المرفأ.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3dc5c5e0>,43.47208719449914,56.845748725279435,0.14138707627108182,0.20880571007728577,0.6771226525306702,0.9920288249850273,0.6717251893607457,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nI want to see the harbor.\nTranslation:'}]}]",,(),syr,False,None,None
Blobheart:command-r-plus,True,وين أقرب صيدلي؟,['وين أقرب صيدلية؟'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3dc5c910>,64.34588841607616,81.91459079780293,0.10177253037471079,0.1733510047197342,0.5870893597602844,0.523303858935833,0.3072261275027244,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': ""Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nWhere's the nearest chemist?\nTranslation:""}]}]",,(),syr,False,None,None
Blobheart:command-r-plus,True,شايفه كتير حلو.,['أظنها خلابة.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3dc5c8b0>,8.116697886877475,7.261365615746386,0.00017611436736033638,0.002475229324772954,0.07115072757005692,0.0069122217246331275,0.0004918096048332006,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': ""Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nI think it's scenic.\nTranslation:""}]}]",,(),syr,False,None,None
Blobheart:command-r-plus,True,شو رح ينعزف بقاعة الحفلات الموسيقية اليوم؟,['شو عم يعزفوا اليوم بقاعة الحفلات؟'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3dc5c580>,26.731413347315897,36.687955668902525,0.3620978780679067,0.43088892102241516,0.840350866317749,0.9885831950232387,0.8307567443649468,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nWhat is playing at the concert hall today?\nTranslation:'}]}]",,(),syr,False,None,None
Blobheart:command-r-plus,True,خدني عالمستشفى.,['خدني عالمستشفى'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3dc5c280>,81.87307530779823,85.84588429606742,0.2574508823924013,0.32933729887008667,0.7817240357398987,0.9303669575601816,0.7272902127829962,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nTake me to the hospital.\nTranslation:'}]}]",,(),syr,False,None,None
