Unnamed: 0,Prompt,Completion,Model,Dialect,Adequacy,Fluency,Dialectal Accuracy,TVD,Copy
0,"Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.
This can be easily done by using a relatively quiet alarm clock to bring you to consciousness without fully waking you.
Translation:",هالشي فيك تعمله بسهولة باستخدام منبه هادي نسبياً ليخليك توعى بدون ما تصحى بشكل كامل.,gpt-4o,syr,5,5,4,0.4328104371175811,False
1,"Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.
Written on the back of the Declaration of Independence were the words ""Original Declaration of Independence dated 4th July 1776"". The text appears on the bottom of the document, upside down.
Translation:","مكتوب على ظهر إعلان الاستقلال الكلمات ""إعلان الاستقلال الأصلي بتاريخ 4 تموز 1776"". النص يظهر في أسفل الوثيقة بالمقلوب.",gpt-4o,syr,4,5,3,8.101831518170233e-06,False
2,"Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.
Looking decidedly rusty in the game against their southern sisters, South Africa however steadily improved as the tournament progressed.
Translation:",بدت جنوب أفريقيا صدئة بشكل واضح في المباراة ضد شقيقاتها الجنوبيات، لكنها تحسنت بشكل مطرد مع تقدم البطولة.,command_r+,syr,2,5,1,0.0,False
3,"Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.
While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.
Translation:",على الرغم من أن أحد اللقاحات التجريبية يبدو قادراً على خفض معدل الوفيات بسبب الإيبولا، إلا أنه لم يتم حتى الآن إثبات ملاءمة أي دواء بشكل واضح لعلاج العدوى الموجودة.,command_r+,syr,5,4,1,0.0,False
4,"Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.
Across the United States of America, there are approximately 400,000 known cases of Multiple Sclerosis (MS), leaving it as the leading neurological disease in younger and middle aged adults.
Translation:","في جميع أنحاء الولايات المتحدة الأمريكية، هناك حوالي ٤٠٠,٠٠٠ حالة معروفة من التصلب المتعدد (MS)، مما يجعله المرض العصبي الرائد بين البالغين الشباب ومتوسطي العمر.",gpt-4o,syr,4,4,1,0.0,False
5,"Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.
Majorcan cuisine, like that of similar zones in the Mediterranean, is based on bread, vegetables and meat (specially pork), and uses olive oil throughout.
Translation:",يستند المطبخ المايوركي، مثل مطابخ المناطق المشابهة في البحر الأبيض المتوسط، إلى الخبز والخضروات واللحوم (خاصة لحم الخنزير)، ويستخدم زيت الزيتون في جميع الأطباق.,command_r+,syr,4,5,1,0.0,False
6,"Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.
Technology offers the solution with virtual field trips. Students can look at museum artifacts, visit an aquarium, or admire beautiful art while sitting with their class.
Translation:",بتقدم التكنولوجيا الحل من خلال الرحلات الميدانية الافتراضية. بيقدر الطلاب يشوفوا القطع الأثرية في المتحف، أو يزوروا حوض أسماك، أو يتعجبوا من الفن الجميل، وكل هاد وهن قاعدين مع صفهم.,command_r+,syr,4,4,3,0.1430206527957622,False
7,"Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.
However, due to the slow communication channels, styles in the west could lag behind by 25 to 30 year.
Translation:",ومع ذلك، وبسبب بطء قنوات الاتصال، فقد تتخلف الأنماط في الغرب عن الركب بما يتراوح بين 25 و30 عامًا.,command_r+,syr,5,5,1,0.0,False
8,"Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.
A search of the Internet for 'Hostile environment course' will probably provide the address of a local company.
Translation:","البحث على الإنترنت عن ""دورة بيئة عدائية"" من المحتمل أن يوفر عنوان شركة محلية.",gpt-4o,syr,5,5,1,0.0,False
9,"Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.
Coalition and Afghan troops moved into the area to secure the site and other coalition aircraft have been sent to assist.
Translation:",تحركت القوات الأفغانية وقوات التحالف إلى المنطقة لتأمين الموقع، كما أرسلت طائرات أخرى تابعة للتحالف للمساعدة.,command_r+,syr,5,5,1,0.0,False
