Unnamed: 0,Prompt,Completion,Model,Dialect,Adherence,Fluency,Dialectal Accuracy,Repeats Prompt?,TVD,Copy
0,"عيد كتابة الجملة دي عشان تبقى مناسبة لجمهور أوسع: ""منتزه كروغر الوطني (KNP) موجود في شمال شرق جنوب إفريقيا، و بيمتد بالتوازي مع حدود موزمبيق في الشرق، وزيمبابوي في الشمال، وفي الجنوب نهر كروكودايل.""","
المنتزه ده بيعتبر من أكبر المنتزهات الوطنية في أفريقيا، و بيعتبر من أجمل الأماكن اللي ممكن تزورها في جنوب أفريقيا، وده لإن فيه تنوع كبير في الحياة البرية اللي موجودة فيه، وده بيعتبر من أهم الأسباب اللي بتخلي السياح ييجوا يزوروه.
المنتزه ده بيعتبر من أهم الأماكن اللي بتجذب السياح في جنوب أفريقيا، وده",command_r+_base,egy,2,4,5,,0.7790664307137263,False
1,"""تكوين البلورات دى بيتطابق مع تركيب بول الحيوانات الأليفة المصابة ، عند مقارنتها باستخدام التحليل الطيفي بالأشعة تحت الحمراء (FTIR)."" عايز رد جذاب قايم على الجملة دي.","بالتأكيد! إليك رد جذاب يعتمد على الجملة المقدمة:

""هل تعلم أن تكوين البلورات يمكن أن يكشف لنا الكثير عن صحة حيواناتنا الأليفة؟ باستخدام التحليل الطيفي بالأشعة تحت الحمراء (FTIR)، يمكننا مقارنة تركيب بول الحيوانات الأليفة المصابة واكتشاف أي تشابهات مع تكوين البلورات. هذه التقنية المتقدمة تفتح لنا أبواباً جديدة لفهم الأمراض والتشخيص المبكر،",gpt-4o,egy,3,4,1,,0.0,False
2,"اكتب سؤال امتحان مقالي مناسب بناءً على الجملة دي: ""URL و مش هتتضعف حتي لو بكي بالدموع""","السؤال: 

في ضوء الجملة ""URL و مش هتتضعف حتي لو بكي بالدموع""، قم بتحليل المعنى الضمني لهذه العبارة، موضحاً السياق الذي قد تكون قيلت فيه، ومدى تأثيرها على فهمك لموضوع النقاش. استخدم أمثلة من الحياة اليومية أو من تجاربك الشخصية لدعم تحليلك.",gpt-4o,egy,3,4,1,,0.1392676967698847,False
3,"ايه نوع الناس اللي الجملة دي معموله عشانه؟ ""عديت من الامتحان ده بكل سهولة."" اشرح اجابتك","الجملة ""عديت من الامتحان ده بكل سهولة"" ممكن تكون موجهة لأي شخص بيمر بمرحلة اختبارات أو امتحانات، سواء في المدرسة، الجامعة أو حتى في سياق العمل. الجملة دي بتعبر عن شعور بالراحة والانجاز لأن الشخص عدى من امتحان صعب بكل سهولة.

الناس اللي الجملة دي معمولة عشانهم ممكن يكونوا",command_r+,egy,2,4,5,,0.7497893849161841,False
4,"رد على الكلام ده: ""بكام المشروم الطازه؟""",سعر المشروم الطازج يختلف حسب النوعية والكمية. عموماً، يمكن أن يتراوح سعر المشروم الطازج من 5 إلى 10 دولارات أمريكية للرطل (450 جرام) اعتماداً على النوعية والمنطقة التي يتم شراؤه منها. من الأفضل دائماً التحقق من الأسعار المحلية في متاجر البقالة أو أسواق المزارعين للحصول على معلومات,command_r+,egy,3,4,2,,0.0,False
5,"اكتب قصة بتبدأ بالسطر ده: ""الواحد خرج في الدراسه اكتر ما خرج في الاجازه""","""الواحد خرج في الدراسة أكتر ما خرج في الإجازة"".. جملة قالها أحمد لصديقه محمد وهو يضحك، فقد كانا يجلسان معا في أول يوم بعد انتهاء الامتحانات، ويخططان لكيفية قضاء عطلتهم الصيفية.

أحمد ومحمد صديقان منذ الطفولة، وكلاهما كانا مشغولين جدا خلال العام الدراسي، فبالإضافة إلى الدراسة،",command_r+,egy,2,4,1,,0.13331457008483483,False
6,"""وظيفة القوات البحريّة كانت في العرف إنها تضمن قدرة بلدك على نقل شعبك وبضائعه، وفي الوقت نفسه، تعطل قدرة عدوك أنه ينقل شعبه وبضائعه."" عايز رد جذاب قايم على الجملة دي.","
""وظيفة القوات البحريّة كانت في العرف إنها تضمن قدرة بلدك على نقل شعبك وبضائعه، وفي الوقت نفسه، تعطل قدرة عدوك أنه ينقل شعبه وبضائعه."" عايز رد جذاب قايم على الجملة دي.
""The function of the Navy has been in the past, and will be in the future, to keep the sea lanes open for one's own commerce and to",command_r+_base,egy,1,2,1,Yes,0.40400237271405004,True
7,"اكتب سؤال امتحان مقالي مناسب بناءً على الجملة دي: ""USER انا حسيت انها خبطت في وشي D""","السؤال: 

في ضوء الجملة التالية: ""USER انا حسيت انها خبطت في وشي D""، قم بتحليل السياق الذي يمكن أن تكون هذه الجملة قد وردت فيه، موضحاً المشاعر التي قد يكون الشخص قد شعر بها، وكيف يمكن أن تؤثر هذه التجربة على سلوكه أو قراراته المستقبلية.",gpt-4o,egy,3,4,1,,0.1732299011662466,False
8,"اكتب سؤال امتحان مقالي مناسب بناءً على ""بالمناسبه صحيح لو كان ع الثوار فهما قاعدين في ام البلد دي لحد ما تنضف اما بقي اللي مش عاجبه من بتوع URL URL""","
اكتب سؤال امتحان مقالي مناسب بناءً على ""بالمناسبه صحيح لو كان ع الثوار فهما قاعدين في ام البلد دي لحد ما تنضف اما بقي اللي مش عاجبه من بتوع URL URL"" :
اكتب سؤال امتحان مقالي مناسب بناءً على ""بالمناسبه صحيح لو كان ع الثوار فهما قاعدين في ام البلد دي لحد ما تنض",command_r+_base,egy,1,2,1,Yes,0.8540335160266181,True
9,"""لما عيونها جت في عنيا"" دا هيأثر عليك ازاي, لو حد قلك كدا؟","الجملة ""لما عيونها جت في عنيا"" تعني أن شخصًا ما يتحدث عن لحظة تلاقي العيون بينه وبين شخص آخر، وغالبًا ما تكون هذه اللحظة مليئة بالمشاعر والإحساسات. إذا قال لك شخص ما هذه الجملة، فقد يكون يعبر عن إعجابه أو اهتمامه بك. 

كيف سيؤثر ذلك عليك يعتمد على مشاعرك تجاه هذا الشخص. إذا كنت تشعر بنفس الإعجاب",gpt-4o,egy,2,4,1,,0.11565181696647642,False
