Unnamed: 0,Prompt,Completion,Model,Dialect,Adequacy,Fluency,Dialectal Accuracy,TVD,Copy
0,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
It can be pulled into thin wire, which can be twisted and plaited. It can be hammered or rolled into sheets.
Translation:",ممكن يتسحب لسلك رفيع، اللي ممكن يتلف ويتضفر. ممكن يتدق أو يتلف في صفايح.,gpt-4o,egy,5,4,4,0.551115066427144,False
1,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
They can see very well in the dark with night vision, and move very stealthily, too. Ocelots hunt their prey by blending in with their surroundings then pouncing on their prey.
Translation:",بإمكانها الرؤية جيدًا في الظلام باستخدام الرؤية الليلية، كما تتحرك بخفة. تصطاد الأوْسِلُوت فريستها عن طريق الاندماج مع محيطها ثم الانقضاض عليها.,command_r+,egy,4,3,1,0.0,False
2,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
However, the percentage of XDR-TB in the entire group of people with tuberculosis still seems to be low; 6,000 of the total 330,000 people infected at any particular moment in South Africa.
Translation:",ومع ذلك، نسبة مرض السل المقاوم للأدوية المتعددة في المجموعة الكاملة من المصابين بالسل لا تزال تبدو منخفضة؛ ٦٠٠٠ من إجمالي ٣٣٠٠٠٠ شخص مصاب في أي لحظة معينة في جنوب أفريقيا.,gpt-4o,egy,4,4,2,0.0,False
3,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.
Translation:",في تجربة PALM، كانت ZMapp بمثابة التحكم، بمعنى أن العلماء استخدموها كخط أساس وقارنوا العلاجات الثلاثة الأخرى بها.,gpt-4o,egy,5,4,3,0.0009358993436205,False
4,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
We perceive the Foster Care System to be a safety zone for these children.
Translation:",نحن نرى نظام الرعاية البديلة كمنطقة أمان لهؤلاء الأطفال.,gpt-4o,egy,5,5,1,0.0,False
5,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
Prides are made up of one to three related adult males, along with as many as thirty females and cubs.
Translation:",تتكون مجموعات الأسود من واحد إلى ثلاثة ذكور بالغين مختلطين، بالإضافة إلى ما يصل إلى ثلاثين أنثى وشبل.,command_r+,egy,4,4,1,0.0,False
6,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
A car bomb detonated at police headquarters in Gaziantep, Turkey yesterday morning killed two police officers and injured more than twenty other people.
Translation:",انفجرت سيارة مفخخة في مقر الشرطة في غازي عنتاب، تركيا صباح أمس وقتلت ضابطين شرطة وأصابت أكثر من عشرين شخصًا آخرين.,gpt-4o,egy,4,4,1,0.0,False
7,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
The D-Day landings and the following battles had freed the north of France, but the south still wasn't free.
Translation:",نزول يوم الإنزال والمعارك التالية حررت شمال فرنسا، لكن الجنوب لسه مش حر.,gpt-4o,egy,5,5,2,0.0046981312507911,False
8,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
The Kruger National Park (KNP) lies in the north-east of South Africa and runs along the border of Mozambique in the east, Zimbabwe in the north, and the southern border is the Crocodile River.
Translation:",حديقة كروجر الوطنية تقع في شمال شرق جنوب أفريقيا وتمتد على طول حدود موزمبيق في الشرق، زيمبابوي في الشمال، والحد الجنوبي هو نهر التماسيح.,gpt-4o,egy,5,5,1,0.0,False
9,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
The 35mm format is actually, somewhat confusingly, 36mm in width by 24mm in height.
Translation:",صيغة الـ 35 مم هي في الواقع، بشكل مربك إلى حد ما، عرضها 36 مم وارتفاعها 24 مم.,gpt-4o,egy,5,5,2,0.0,False
10,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
Sharks do exist, however they rarely attack humans. Most sharks are scared of humans and would swim away.
Translation:",القروش موجودة فعلاً، لكن نادراً ما تهاجم البشر. معظم القروش بتخاف من البشر وبتسبح بعيد.,gpt-4o,egy,5,5,3,0.0023925044222283,False
11,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
This new environment has different resources and different competitors, so the new population will need different features or adaptations to be a strong competitor than what they had needed before.
Translation:",هالبيئة الجديدة فيها موارد مختلفة و منافسين مختلفين، فالسكان الجدد هيحتاجوا صفات أو تكيفات مختلفة عشان يكونوا منافسين أقوياء بشكل مختلف عن اللي كانوا محتاجينه قبل كده.,command_r+,egy,5,4,3,0.0505305364882082,False
12,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
This offers a good opportunity to see the Aurora borealis, as the sky will be dark more or less around the clock.
Translation:",ده بيدّي فرصة كويسة عشان تشوف الشفق القطبي، لإن السما هتكون ضلمة تقريباً طول اليوم.,gpt-4o,egy,5,5,5,0.8947523182607462,False
13,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
Science’s main goal is to figure out the way the world works through the scientific method. This method in fact guides most scientific research.
Translation:",الهدف الرئيسي للعلم هو فهم طريقة عمل العالم من خلال المنهج العلمي. في الواقع، يوجه هذا المنهج معظم الأبحاث العلمية.,command_r+,egy,5,5,4,0.0,False
14,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
Rolando Mendoza fired his M16 rifle at the tourists.
Translation:",رولاندو ميندوزا أطلق النار من بندقيته M16 على السياح.,gpt-4o,egy,5,5,5,0.0148382827138959,False
15,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
The Guaraní were the most significant indigenous group inhabiting what is now Eastern Paraguay, living as semi-nomadic hunters who also practised subsistence agriculture.
Translation:",كان شعب الغواراني أهم مجموعة من السكان الأصليين الذين عاشوا في ما يعرف الآن بشرق باراجواي، حيث كانوا صيادين شبه رحّل يمارسون أيضًا الزراعة الكفافية.,command_r+,egy,4,4,1,0.0016950589736349,False
16,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
Though it is widely used, especially among non-Romani, the word ""Gypsy"" is often considered offensive because of its associations with negative stereotypes and inaccurate perceptions of Romani people.
Translation:","على الرغم من الاستخدام الواسع لهذا المصطلح، خاصة بين غير الروما، إلا أن كلمة ""غجري"" تعتبر في كثير من الأحيان كلمة مسيئة بسبب ارتباطها بالصور النمطية السلبية والمفاهيم الخاطئة عن شعب الروما.",command_r+,egy,4,3,1,0.0,False
17,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
His 1,000th stamp was the magnificent ""Great Deeds by Swedish Kings"" by David Klöcker Ehrenstrahl in 2000, which is listed in the Guinness Book of World Records.
Translation:","ألف طابع له كان الطابع الرائع ""الأعمال العظيمة لملوك السويد"" بواسطة ديفيد كلويكر إهرنسترال في عام 2000، وهو مُدرج في كتاب جينيس للأرقام القياسية.",gpt-4o,egy,4,3,1,0.0017695470314575,False
18,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
For example, “learning” and “socialization” are suggested as important motivations for Internet use (James et al., 1995).
Translation:","يقترح جيمس وآخرون (1995) ""التعلم"" و""التواصل الاجتماعي"" كدوافع مهمة لاستخدام الإنترنت.",command_r+,egy,5,5,2,0.0,False
19,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
To get the best views of Hong Kong, leave the island and head for the Kowloon waterfront opposite.
Translation:",عشان تشوف أحلى مناظر لهونج كونج، سيب الجزيرة وروح للواجهة البحرية في كولون المقابلة.,gpt-4o,egy,5,5,4,0.1918676780808681,False
20,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
Plants make their food from the sun by photosynthesis. They also provide shade.
Translation:",النباتات تصنع طعامها من الشمس عن طريق عملية البناء الضوئي. كما أنها توفر الظل.,command_r+,egy,5,5,1,0.0,False
21,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
In 1683, Qing dynasty (1644-1912) forces take control of Taiwan’s western and northern coastal areas and declared Taiwan as a province of the Qing Empire in 1885.
Translation:",في سنة ١٦٨٣، قوات أسرة تشينغ (١٦٤٤-١٩١٢) سيطرت على المناطق الساحلية الغربية والشمالية لتايوان وأعلنت تايوان كمقاطعة تابعة لإمبراطورية تشينغ في سنة ١٨٨٥.,gpt-4o,egy,5,5,3,0.0,False
22,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
Since Montevideo is south of the Equator, it is summer there when it's winter in the Northern Hemisphere and vice versa.
Translation:",بما إن مونتيفيديو جنوب خط الاستواء، يبقى الصيف هناك لما يكون الشتاء في نصف الكرة الشمالي والعكس صحيح.,gpt-4o,egy,4,4,3,0.0043198321864073,False
23,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.
Translation:",فى تجربة بالم، كان زيماب بمثابة عنصر تحكم، بمعنى أن العلماء استخدموه كخط أساس وقارنوا بينه وبين العلاجات الثلاثة الأخرى.,command_r+,egy,4,4,1,0.0068392407717476,False
24,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
In the churchyard, there are interesting marble sculptures of doves over some tombs.
Translation:",في فناء الكنيسة، هناك منحوتات رخامية مثيرة للاهتمام للحمام فوق بعض القبور.,gpt-4o,egy,4,4,1,0.0,False
25,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
Across the United States of America, there are approximately 400,000 known cases of Multiple Sclerosis (MS), leaving it as the leading neurological disease in younger and middle aged adults.
Translation:","عبر الولايات المتحدة الأمريكية، هناك ما يقرب من 400,000 حالة معروفة من التصلب المتعدد، مما يجعله المرض العصبي الرئيسي لدى الشباب والبالغين في منتصف العمر.",command_r+,egy,5,5,1,0.0,False
26,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
While Goma is reasonably safe, any visits outside of Goma should be researched to understand the state of the fighting that persists in the North Kivu province.
Translation:",بالرغم من أن غوما آمنة إلى حد ما، إلا أنه يجب البحث عن أي زيارات خارج غوما لمعرفة حالة القتال المستمر في مقاطعة كيفو الشمالية.,command_r+,egy,4,4,1,0.0,False
27,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
However, due to the slow communication channels, styles in the west could lag behind by 25 to 30 year.
Translation:",ومع ذلك، وبسبب بطء قنوات الاتصال، فقد تتأخر الأنماط السائدة في الغرب بما يتراوح بين 25 و30 عامًا.,command_r+,egy,4,4,1,0.0,False
28,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
The Report opens with plea for open debate and the formation of a consensus in the United States about the policy towards the Middle East.
Translation:",يبدأ التقرير بنداء من أجل مناقشة مفتوحة وتشكيل إجماع في الولايات المتحدة حول السياسة تجاه الشرق الأوسط.,command_r+,egy,5,4,3,0.0,False
29,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
Subcultures can be distinctive because of the age, ethnicity, class, location, and/or gender of the members.
Translation:",الثقافات الفرعية يمكن تكون مميزة بسبب العمر، العرق، الطبقة، الموقع، و/أو جنس الأعضاء.,gpt-4o,egy,5,5,4,0.0,False
30,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
Lions are the most social cats, living in large groups called prides.
Translation:",الأسود هي أكثر القطط الاجتماعية، تعيش في مجموعات كبيرة تسمى زمر.,command_r+,egy,4,4,3,0.0,False
31,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
It is helpful to also wear a ring (just not one that looks too expensive.
Translation:",مفيد كمان تلبس خاتم (بس مش واحد شكله غالي قوي).,gpt-4o,egy,4,4,4,0.819462410720206,False
32,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
The Madhya Pradesh Police recovered the stolen laptop and mobile phone.
Translation:",عثرت شرطة ماديا براديش على الكمبيوتر المحمول والهاتف المحمول المسروقين.,command_r+,egy,4,4,1,0.00011210184459,False
33,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
Due to the cluster/group of islands Japan has, Japan is often referred to, on a geographical stance, as an ""archipelago""
Translation:","نظرًا لتجمّع/مجموعة الجزر التي تمتلكها اليابان، فغالبًا ما يُشار إلى اليابان، من الناحية الجغرافية، باسم ""أرخبيل"".",command_r+,egy,5,4,1,0.0,False
34,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
It's expected that most event tickets will cost between ¥2,500 and ¥130,000, with typical tickets costing around ¥7,000.
Translation:","من المتوقع أن معظم تذاكر الفعاليات هتكلف بين ¥2,500 و ¥130,000، والتذاكر العادية هتكلف حوالي ¥7,000.",gpt-4o,egy,5,5,2,3.0016781467079312e-05,False
35,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
This provides us with a lot of information and material to build simulation models which help us to understand processes in our mind.
Translation:",ده بيدي معلومات ومواد كتير عشان نبني نماذج محاكاة بتخلينا نفهم العمليات اللي بتحصل في عقلنا.,command_r+,egy,4,4,5,0.9086917160383052,False
36,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
If you only go ashore using shipboard excursions you will not need a separate visa (as of 2009).
Translation:",إذا كنت ستنزل إلى البر فقط من خلال الرحلات الاستكشافية التي تنظمها السفينة، فلن تحتاج إلى تأشيرة دخول منفصلة (اعتبارًا من عام 2009).,command_r+,egy,5,5,1,0.0,False
37,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
The composition of these crystals matches those found in the urine of affected pets when compared by infrared spectroscopy (FTIR).
Translation:",التركيب البلوري لهذه البلورات يطابق تلك الموجودة في بول الحيوانات الأليفة المصابة عند مقارنتها بواسطة مطيافية الأشعة تحت الحمراء (FTIR).,command_r+,egy,4,4,1,0.0,False
38,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
With two years of the end of the war, the former allies were now enemies and the Cold War began.
Translation:",بعد سنتين من نهاية الحرب، أصبح الحلفاء السابقون أعداء، وبدأت الحرب الباردة.,command_r+,egy,5,5,1,0.0,False
39,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
After all, the leader is ultimately responsible for the success and failure of the team.
Translation:",في النهاية، القائد هو المسؤول في النهاية عن نجاح وفشل الفريق.,gpt-4o,egy,5,4,3,0.0,False
40,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
A moderate earthquake shook western Montana at 10:08 p.m. on Monday.
Translation:",زلزال متوسط هز غرب مونتانا الساعة 10:08 مساءً يوم الاثنين.,gpt-4o,egy,5,5,3,0.0,False
41,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
With 17,000 islands to choose from, Indonesian food is an umbrella term covering a vast variety of regional cuisines found across the nation.
Translation:",مع وجود 17000 جزيرة للاختيار من بينها، فإن الطعام الإندونيسي هو مصطلح عام يشمل مجموعة واسعة من الأطباق الإقليمية الموجودة في جميع أنحاء البلاد.,command_r+,egy,4,4,1,0.0,False
42,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
Reindeer husbandry is an important livelihood among the Sámi and the culture surrounding the trade is important also for many with other professions.
Translation:",تربية حيوان الرنة هي مصدر رزق مهم للسكان الأصليين في منطقة سابمي، كما أن الثقافة المحيطة بهذه التجارة مهمة أيضًا للعديد من الأشخاص الذين يعملون في مهن أخرى.,command_r+,egy,5,4,1,0.0,False
43,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
He has been unable to take the drugs needed to overcome his pain as they are banned from the Games.
Translation:",هو ما قدرش ياخد الأدوية اللي محتاجها عشان يتغلب على ألمه لأنها ممنوعة من الألعاب.,gpt-4o,egy,5,5,4,0.7349507889066089,False
44,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
The Report opens with plea for open debate and the formation of a consensus in the United States about the policy towards the Middle East.
Translation:",التقرير يبدأ بنداء للنقاش المفتوح وتكوين إجماع في الولايات المتحدة بشأن السياسة تجاه الشرق الأوسط.,gpt-4o,egy,5,5,1,0.0,False
45,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
The mob of people forced the King And Queen to have their carriage windows wide open.
Translation:",أجبرت الحشود الملك والملكة على إبقاء نوافذ عربتهما مفتوحة على مصراعيها.,command_r+,egy,4,4,1,0.0001853966678069,False
46,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
Searches at security checkpoints have also become far more intrusive in the post-September 11, 2001 era.
Translation:",زادت أيضا عمليات التفتيش في نقاط التفتيش الأمنية وأصبحت أكثر تدخلا في حق الخصوصية في حقبة ما بعد 11 سبتمبر 2001.,command_r+,egy,5,4,1,0.0,False
47,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
The Olympic gold medalist was due to swim in the 100m and 200m freestyle and in three relays at the Commonwealth Games, but due to his complaints his fitness has been in doubt.
Translation:",كان من المقرر أن يسبح الحاصل على الميدالية الذهبية الأولمبية في سباقي 100 متر و200 متر حرة، وفي ثلاثة سباقات تتابع في ألعاب الكومنولث، ولكن بسبب شكاويه، كان هناك شك حول لياقته.,command_r+,egy,3,4,1,0.0,False
48,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
Posted speed limits are noticeably lower than in previous and subsequent sections — commonly 35-40 mph (56-64 km/h) — and strict obedience to them is even more important than otherwise.
Translation:",حدود السرعة المعلنة أقل بشكل ملحوظ من الأقسام السابقة واللاحقة — عادة 35-40 ميل في الساعة (56-64 كم/ساعة) — والطاعة الصارمة لها أكثر أهمية حتى من المعتاد.,gpt-4o,egy,4,4,1,0.0,False
49,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
Be firm in turning down men, and don't be afraid to stand your ground (cultural differences or not, it doesn't make it ok!).
Translation:",كوني حازمة في رفض الرجال، وما تخافيش تقفي على موقفك (الاختلافات الثقافية أو لأ، ده مش بيخليه مقبول!).,gpt-4o,egy,3,4,4,0.5718125939115453,False
50,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
Their predecessors, the Australopithecus did not walk upright as habitually.
Translation:",أسلافهم، الأسترالوبيثكس، لم يكونوا يمشوا بشكل مستقيم بشكل معتاد.,gpt-4o,egy,3,4,1,0.0002663789147214,False
