Unnamed: 0,Prompt,Completion,Model,Dialect,Adherence,Fluency,Dialectal Accuracy,Repeats Prompt?,TVD,Copy
0,"كمل هالقسم بقصة: ""بينحطو الولاد بدار الرعاية لأسباب متنوعة بتتراوح من الإهمال لسوء المعاملة وحتى الابتزاز.""","""وكثير من الأحيان، بيكون هاد القرار صعب ومؤلم لكل الأطراف المعنية. بيواجه موظفو دار الرعاية تحديات كبيرة لتحسين حياة هدول الأطفال وتزويدهم بالحب والرعاية اللي بيحتاجوها.

لكن للأسف، في بعض الحالات، بيكون الوضع أسوأ داخل دار الرعاية. في بعض المؤسسات، بيعاني الأطفال من الإهمال وسوء المعاملة على",command_r+,syr,3,5,4,No,0.002107080878170575,False
1,"بدي تكتبلي سؤال امتحان متوقع بشكل مقالة حسب هالجملة: ""وجع قوي."""," - حسوب I/O
2019-06-16T10:17:01+00:00
بدي تكتبلي سؤال امتحان متوقع بشكل مقالة حسب هالجملة: ""وجع قوي.""
بدي تكتبلي سؤال امتحان متوقع بشكل مقالة حسب هالجملة: ""وجع قوي."" وانا رح اكتب المقالة.
201",command_r+_base,syr,1,3,5,Yes,0.18201109195982568,True
2,"اكتوب قصة بتبلش بهالسطر: ""كأنه رياضي شامل،بيقدر النمر أن يتسلق (حتى لو مش منيح) ويسبح وينط لمسافات كبيرة ويسحب بقوة أكتر خمس مرّات من قوة الإنسان.""","
كتير حلوة القصة
2010-06-17 12:10:00
2010-06-17 12:11:00
2010-06-17 12:12:00
2010-06-17 12:13:00
2010-06-17",command_r+_base,syr,1,3,5,,0.27458416748989123,False
3,"""ولا شيء حيغصبنـي إنـي أكـون زيــك"" اكتوب رد مبدع بحتوي ع هلجملة بشكل أساسي","بالتأكيد، إليك رد مبدع يحتوي على الجملة التي ذكرتها:

""أنا أرفض أن أكون نسخة من أي شخص آخر. لدي طموحاتي وأحلامي الخاصة، وسأعمل بجد لتحقيقها. لا شيء ولا أحد سيجبرني على أن أكون مثلك. أنا فخور بكوني فريد من نوعي وسأواصل السعي لبلوغ آفاق جديدة. إن محاولتك",command_r+,syr,2,5,1,,0.00012323493255047245,False
4,"رجاع كتوب ""كل ما اشوفك اقول لا مش معقول"" بطريقة تناسب العوام أكتر"," من المثقفين
الموضوع: رجاع كتوب ""كل ما اشوفك اقول لا مش معقول"" بطريقة تناسب العوام أكتر من المثقفين
21-01-2010, 01:15 AM #1
رجاع كتوب ""كل ما اشوفك اقول لا مش معقول"" بطريقة تناسب العوام أكتر من المثقفين ..
السلام عليكم ور",command_r+_base,syr,1,2,2,Yes,0.05113830938670194,True
5,"رجاع كتوب ""كل ما اشوفك اقول لا مش معقول"" بطريقة تناسب العوام أكتر","كل ما أشوفك، أستغرب وأقول ""يا نهار أبيض! مش معقول اللي بشوفه ده""! يعني إيه الجمال ده كله؟ حاجة تفرح القلب بجد. كل ما أشوفك، أحس إني شايف حاجة مش ممكن تكون حقيقية، زي الحلم كده. بجد مش معقول!",command_r+,syr,2,5,1,,0.0015496464828256284,False
6,"""نحتار ونقول نصيبنا وكتير تعبنا يا قلبي دبنا"" رجاع صيغ هاد بطريقتك وخلي المعنى العام متل ما هو",نحتار ونقول هذا نصيبنا، تعبنا كثير وقلوبنا ذابت.,gpt-4o,syr,3,5,1,,0.011996341470153826,False
7,"رجاع صيغ هاد بطريقتك وخلي المعنى العام متل ما هو: ""مقعد لغير المدخنين، رجاءً.""","""من فضلك، مقعد في منطقة غير المدخنين.""",gpt-4o,syr,3,5,1,,1.1749303295122658e-06,False
8,"رجاع صيغ ""USER اتخيل عين العرب كوباني كانت بدير الزور والله كمان حيطنشوها عادي جدا"" بطريقتك وخلي المعنى العام متل ما هو","
رجاع صيغ ""USER اتخيل عين العرب كوباني كانت بدير الزور والله كمان حيطنشوها عادي جدا"" بطريقتك وخلي المعنى العام متل ما هو -
نُشر في: 2019-10-10 10:15 م – آخر تحديث: 2019-10-10 10:15 م
رجاع صي",command_r+_base,syr,1,2,5,Yes,0.5723619212816544,True
9,"كمل هالقسم بقصة: ""بتضم معظم رحلات البلطيق المتميزة بإقامة طويلة بسانت بطرسبرغ بروسيا.""","
رحلات البلطيق المتميزة
رحلات البلطيق المتميزة: ""بتضم معظم رحلات البلطيق المتميزة إقامة طويلة بسانت بطرسبرغ بروسيا.""
رحلات البلطيق المتميزة: ""بتضم معظم رحلات البلطيق المتميزة إقامة طويلة بسانت بطرMultiplier_Title_Endروسيا.""
رحلات البلطيق المتميزة: ""بتضم معظم رحلات البلطيق",command_r+_base,syr,1,2,3,Yes,0.006716685100595088,False
10,"رجاع كتوب ""فيني ارتكه وين ما كان بالبلد؟"" بطريقة تناسب العوام أكتر","""فيني أروح وأتجول في أي حتة في البلد دي من غير ما حد يمنعني؟""",command_r+,syr,3,5,1,,0.9388667127002037,False
11,"""USER لولحظه تبعد عني والله بحس سنين فرااق بلا لاتبعد عني تكه بحسها سنين فرااق"" اكتوب رد مبدع بحتوي ع هلجملة بشكل أساسي","
موضوع: ""USER لولحظه تبعد عني والله بحس سنين فرااق بلا لاتبعد عني تكه بحسها سن,ن فرااق"" اكتوب رد مبدع بحتوي ع هلجملة بشكل أساسي الأحد مارس 18, 2012 10:21 am
""USER لولحظه تبعد عني والله بحس سنين فرااق بلا لاتبعد عن",command_r+_base,syr,1,5,4,,0.7742901104676037,False
12,"بدي تكتبلي سؤال امتحان متوقع بشكل مقالة حسب هالجملة: ""هدول كبار كتير.""","بالطبع، سأقوم بكتابة سؤال امتحان متوقع على شكل مقالة استنادًا إلى الجملة ""هدول كبار كتير.""

---

**سؤال امتحان متوقع:**

**الموضوع: تحليل وتفسير الجملة ""هدول كبار كتير""**

في ضوء الجملة ""هدول كبار كتير""، قم بكتابة مقالة تتناول فيها النقاط التالية:

1. **تفسير الجملة:**
   - ما المقصود ب",gpt-4o,syr,2,4,3,,0.02044625804841893,False
13,"عمين بيتوجه نوع هلجملة هاي؟ ""بس ليش المصريين اللي كانوا حواليه احمد سبايدر عم يرددوا شبيحه للابد لاجل عيونك يا اسد يعني هم عندهم الثوره حلال وعندنا حرام والا ايه"" برر جوابك","؟
من طرف ابن قيس المحلمي في الأحد مارس 13, 2011 11:01 am
رد: عمين بيتوجه نوع هلجملة هاي؟ ""بس ليش المصريين اللي كانوا حواليه احمد سبايدر عم يرددوا شبيحه للابد لاجل عيونك يا اسد يعني هم عندهم الثوره حلال وعندنا حرام والا ايه"" برر جوابك",command_r+_base,syr,1,2,2,Yes,0.7167974355349784,True
14,"شو الآثار يلي بتترتب على ""إذا في طاولة، ممكن تحجز وحدة ناح الشباك؟"", إذا حدا حكالك هيك؟","إذا حدا حكالك ""إذا في طاولة، ممكن تحجز وحدة ناح الشباك؟""، فيمكن أن يترتب على ذلك عدة آثار:

- إذا كنت تعمل في مطعم أو مكان مشابه:
    - ستحتاج إلى التحقق من توفر الطاولات بالقرب من النافذة وحجز واحدة إذا كانت متوفرة.
    - قد تحتاج إلى طلب معلومات إضافية، مثل عدد الأشخاص في الحجز ووقت الوصول",command_r+,syr,3,5,2,,0.0010200075178025542,False
15,"شو الآثار يلي بتترتب على هالشي, إذا حدا حكالك هيك؟: ""USER رغم كل شي بشع عم يصير بس لسا في شغلات بتخلي الحياه قابله للعيش بطريقه ما""","إذا حدا حكالك هيك، ""رغم كل شي بشع عم يصير بس لسا في شغلات بتخلي الحياه قابله للعيش بطريقه ما""، في عدة آثار ممكن تترتب على هالكلام:

1. **التحفيز والأمل**: هالكلام ممكن يعطيك دفعة من الأمل والتفاؤل، ويذكرك إنه رغم الصعوبات والمشاكل، في دايماً جوانب إيجابية بالحياة",gpt-4o,syr,3,5,2,,0.019674402213267328,False
