sentID.BTEC	split	lang	sent
0	corpus-6-train	EN	It's just down the hall. I'll bring you some now. If there is anything else you need, just let me know.
2	corpus-6-train	EN	Do you do alterations?
4	corpus-6-train	EN	We want to have a table near the window.
5	corpus-6-test-corpus-26-train	EN	It's over there, just in front of the tourist information.
9	corpus-6-test-corpus-26-train	EN	I've never heard of this address around here.
11	corpus-6-test-corpus-26-train	EN	Go straight until you see a drugstore.
12	corpus-6-train	EN	What's the newest color in this season?
14	corpus-6-train	EN	In my case, it is usually on business, seldom for pleasure.
15	corpus-6-train	EN	I'll be staying two days.
16	corpus-6-train	EN	I want to have a tight permanent.
17	corpus-6-train	EN	I'd like to reserve two twin rooms.
18	corpus-6-train	EN	I don't want it extracted.
19	corpus-6-train	EN	Does this bus stop at Stoner Avenue?
24	corpus-6-train	EN	Please open your mouth wide.
26	corpus-6-test-corpus-26-train	EN	How much is the breakfast?
27	corpus-6-test-corpus-26-train	EN	How can I help you?
29	corpus-6-train	EN	Let's get a bite to eat.
30	corpus-6-test-corpus-26-train	EN	Go left at the third corner.
31	corpus-6-train	EN	Would you clean these clothes?
37	corpus-6-dev	EN	I give you his telephone number and address.
38	corpus-6-train	EN	I've paid for meals and hotel charges in advance.
40	corpus-6-train	EN	I'm looking for a nice, quiet grill-type restaurant. Would you point them out on this map?
42	corpus-6-train	EN	You break it, you bought it.
46	corpus-6-train	EN	I'll tell her to call you as soon as she returns.
50	corpus-6-test-corpus-26-train	EN	Would you like cream and sugar in your coffee?
51	corpus-6-train	EN	She's seriously injured.
52	corpus-6-train	EN	I'd like a lighter.
53	corpus-6-train	EN	Does this hotel have conference facilities?
56	corpus-6-train	EN	Is it okay if we just have a light meal?
57	corpus-6-train	EN	I'm calling from the airport. I'll be there around four.
62	corpus-6-train	EN	Where do I transfer for Chicago?
63	corpus-6-train	EN	How much is it to send a registered letter to France?
64	corpus-6-test-corpus-26-train	EN	Could you cash my two hundred dollar check?
68	corpus-6-train	EN	It's really different driving on the right side of the street.
69	corpus-6-train	EN	The actor is really marvelous.
72	corpus-6-train	EN	Where's your non-fiction section?
74	corpus-6-test-corpus-26-train	EN	If it should turn up, please call me.
78	corpus-6-dev	EN	Could you please change my seat?
79	corpus-6-train	EN	Is there a warranty?
83	corpus-6-train	EN	Sorry, I'll take care of the dog.
84	corpus-6-train	EN	"I would like two tickets for ""Cats"", for this Thursday."
86	corpus-6-test-corpus-26-train	EN	Where is the coffee shop?
87	corpus-6-test-corpus-26-train	EN	I'd like a children's sweater.
89	corpus-6-dev	EN	Your name again?
90	corpus-6-train	EN	Is Mr. Brown there?
91	corpus-6-test-corpus-26-train	EN	Okay. It costs eighty-five cents for regular mail and three dollars and zero cents extra for special delivery.
92	corpus-6-train	EN	Can I charter a boat for a day?
93	corpus-6-train	EN	At which window can I make a reservation?
94	corpus-6-train	EN	What's that?
96	corpus-6-train	EN	Could you tell me how to get to the opera?
97	corpus-6-train	EN	Weren't you a bit too intoxicated last night, honey?
98	corpus-6-train	EN	Please follow the instructions from our staff.
100	corpus-6-dev	EN	Is there a department store near here?
102	corpus-6-train	EN	Full tank, please.
103	corpus-6-train	EN	Is there any cheaper room?
104	corpus-6-train	EN	I prefer an automatic car.
105	corpus-6-train	EN	I'm going to stay at the dormitory of Harvard University.
106	corpus-6-train	EN	What is today's rate?
108	corpus-6-train	EN	I suffer chronically from asthma.
109	corpus-6-train	EN	I have about three thousand dollars.
111	corpus-6-train	EN	All right, sir. It comes with a choice of French fries or rice pilaf. Which would you like?
112	corpus-6-train	EN	How do I get to this place?
113	corpus-6-train	EN	What kind of story is it?
115	corpus-6-train	EN	Three times.
116	corpus-6-train	EN	Which window sells stamps?
117	corpus-6-train	EN	After he attacked me, he drove away in a white van.
119	corpus-6-train	EN	All right. Please keep this tag and present it when you come to pick it up.
120	corpus-6-test-corpus-26-test	EN	I would buy this if I were you.
122	corpus-6-train	EN	Two hundred dollars. Cash or credit card?
125	corpus-6-train	EN	How long is the carry over that pond?
128	corpus-6-train	EN	Should I avoid any types of food while taking this medicine?
129	corpus-6-test-corpus-26-train	EN	Will I have any difficulty with the customs?
130	corpus-6-test-corpus-26-train	EN	Do you have broad toe dress shoes?
131	corpus-6-train	EN	May I have some red wine?
133	corpus-6-train	EN	Tell me when we get to the museum.
134	corpus-6-dev	EN	Does this bus go to the Sheraton Hotel?
